,Date,RMB_per_US,AU_per_US,MONTH,RMB_per_US1,AU_per_US1
283,2016-12-09,6.92363,0.745990302126072,12 2016,6.925614,0.7359315787009371
284,2016-12-16,6.90971,0.744186046511628,12 2016,6.925614,0.7359315787009371
285,2016-12-23,6.947,0.725689404934688,12 2016,6.925614,0.7359315787009371
286,2016-12-30,6.9487,0.719284743251311,12 2016,6.925614,0.7359315787009371
287,2017-01-06,6.93471,0.724574674665971,1 2017,6.9014825,0.7425948877099136
288,2017-01-13,6.92188,0.737795025785936,1 2017,6.9014825,0.7425948877099136
289,2017-01-20,6.87723,0.7520719582449651,1 2017,6.9014825,0.7425948877099136
290,2017-01-27,6.87211,0.755937892142782,1 2017,6.9014825,0.7425948877099136
291,2017-02-03,6.87927,0.7586735351910718,2 2017,6.87335,0.765136330921569
292,2017-02-10,6.8707,0.765702647034051,2 2017,6.87335,0.765136330921569
293,2017-02-17,6.87138,0.767960680413163,2 2017,6.87335,0.765136330921569
294,2017-02-24,6.87205,0.7682084610479901,2 2017,6.87335,0.765136330921569
295,2017-03-03,6.87526,0.7653334557866861,3 2017,6.891692000000001,0.7625796766514321
296,2017-03-10,6.904,0.755401117993655,3 2017,6.891692000000001,0.7625796766514321
297,2017-03-17,6.90538,0.7598322290438269,3 2017,6.891692000000001,0.7625796766514321
298,2017-03-24,6.89195,0.768580431942203,3 2017,6.891692000000001,0.7625796766514321
299,2017-03-31,6.88187,0.76375114849079,3 2017,6.891692000000001,0.7625796766514321
300,2017-04-07,6.890596,0.758541173614904,4 2017,6.8878365,0.7546319649415155
301,2017-04-14,6.896067,0.752154546699019,4 2017,6.8878365,0.7546319649415155
302,2017-04-21,6.883414,0.755572916942136,4 2017,6.8878365,0.7546319649415155
303,2017-04-28,6.881269,0.752259222510003,4 2017,6.8878365,0.7546319649415155
304,2017-05-05,6.896694,0.7473662812249628,5 2017,6.891685249999999,0.7436468252438654
305,2017-05-12,6.897564,0.7389939779380739,5 2017,6.891685249999999,0.7436468252438654
306,2017-05-19,6.89241,0.741583949157004,5 2017,6.891685249999999,0.7436468252438654
307,2017-05-26,6.880073,0.746643092655421,5 2017,6.891685249999999,0.7436468252438654
308,2017-06-02,6.837573,0.7434369387051109,6 2017,6.8140448000000005,0.7538488882544722
309,2017-06-09,6.800984,0.7495645030237429,6 2017,6.8140448000000005,0.7538488882544722
310,2017-06-16,6.798313,0.756038479334444,6 2017,6.8140448000000005,0.7538488882544722
311,2017-06-23,6.821992,0.7591544537693918,6 2017,6.8140448000000005,0.7538488882544722
312,2017-06-30,6.811362,0.761050066439671,6 2017,6.8140448000000005,0.7538488882544722
313,2017-07-07,6.791669,0.763888835841053,7 2017,6.775675,0.7780557228740855
314,2017-07-14,6.794722,0.765750140323713,7 2017,6.775675,0.7780557228740855
315,2017-07-21,6.765181,0.788148143477641,7 2017,6.775675,0.7780557228740855
316,2017-07-28,6.751128,0.794435771853935,7 2017,6.775675,0.7780557228740855
317,2017-08-04,6.72725682648386,0.796903,8 2017,6.691162469241982,0.7918682891536433
318,2017-08-11,6.69994305048407,0.789942,8 2017,6.691162469241982,0.7918682891536433
319,2017-08-18,6.673499,0.788780387764439,8 2017,6.691162469241982,0.7918682891536433
320,2017-08-25,6.663950999999999,0.7918477688501339,8 2017,6.691162469241982,0.7918682891536433
321,2017-09-01,6.6087,0.7937999999999998,9 2017,6.571692200000001,0.7971473717712151
322,2017-09-08,6.526932,0.799687162382076,9 2017,6.571692200000001,0.7971473717712151
323,2017-09-15,6.523301,0.8027950111106829,9 2017,6.571692200000001,0.7971473717712151
324,2017-09-22,6.572061,0.7991695030524278,9 2017,6.571692200000001,0.7971473717712151
325,2017-09-29,6.627467,0.790285182310889,9 2017,6.571692200000001,0.7971473717712151
326,2017-10-06,6.652502,0.7822259490943,10 2017,6.62447375,0.7808790289188816
327,2017-10-13,6.610641,0.7793910306121421,10 2017,6.62447375,0.7808790289188816
328,2017-10-20,6.603632,0.7862988989456517,10 2017,6.62447375,0.7808790289188816
329,2017-10-27,6.63112,0.775600237023433,10 2017,6.62447375,0.7808790289188816
330,2017-11-03,6.62904,0.767886967038452,11 2017,6.629077,0.763705518678818
331,2017-11-10,6.634544,0.766358105348183,11 2017,6.629077,0.763705518678818
332,2017-11-17,6.634302,0.7621422599499581,11 2017,6.629077,0.763705518678818
333,2017-11-24,6.618422,0.758434742378679,11 2017,6.629077,0.763705518678818
334,2017-12-01,6.600414,0.760118700136213,12 2017,6.590207000000001,0.7635218212127641
335,2017-12-08,6.616021,0.758124823735978,12 2017,6.590207000000001,0.7635218212127641
336,2017-12-15,6.6113,0.7574523846494698,12 2017,6.590207000000001,0.7635218212127641
337,2017-12-22,6.5821,0.767210644587367,12 2017,6.590207000000001,0.7635218212127641
338,2017-12-29,6.5412,0.774702552954793,12 2017,6.590207000000001,0.7635218212127641
339,2018-01-05,6.4915,0.7826287717815369,1 2018,6.436300000000001,0.791659729267407
340,2018-01-12,6.4932,0.785705811315892,1 2018,6.436300000000001,0.791659729267407
341,2018-01-19,6.4169,0.7955905191069021,1 2018,6.436300000000001,0.791659729267407
342,2018-01-26,6.3436,0.802713814865297,1 2018,6.436300000000001,0.791659729267407
343,2018-02-02,6.2885,0.773772216934779,2 2018,6.322125,0.7805366599269008
344,2018-02-09,6.3194,0.773772216934779,2 2018,6.322125,0.7805366599269008
345,2018-02-16,6.3428,0.7868439688409788,2 2018,6.322125,0.7805366599269008
346,2018-02-23,6.3378,0.7877582369970659,2 2018,6.322125,0.7805366599269008
347,2018-03-02,6.3334,0.780930306655713,3 2018,6.32646,0.7768403474642012
348,2018-03-09,6.3451,0.7787397809872239,3 2018,6.32646,0.7768403474642012
349,2018-03-16,6.334,0.784606645304443,3 2018,6.32646,0.7768403474642012
350,2018-03-23,6.3272,0.7713882829205378,3 2018,6.32646,0.7768403474642012
351,2018-03-30,6.2926,0.768536721453088,3 2018,6.32646,0.7768403474642012
352,2018-04-06,6.2898,0.772499034376207,4 2018,6.314525,0.7677723910352463
353,2018-04-13,6.2897,0.775963144854472,4 2018,6.314525,0.7677723910352463
354,2018-04-20,6.3393,0.761313692455153,4 2018,6.314525,0.7677723910352463
355,2018-04-27,6.3393,0.761313692455153,4 2018,6.314525,0.7677723910352463
356,2018-05-04,6.3521,0.7541387132583619,5 2018,6.366785,0.7530765695325975
357,2018-05-11,6.35204,0.750951455494111,5 2018,6.366785,0.7530765695325975
358,2018-05-18,6.3763,0.752336757970256,5 2018,6.366785,0.7530765695325975
359,2018-05-25,6.3867,0.754879351407661,5 2018,6.366785,0.7530765695325975
360,2018-06-01,6.4078,0.755015568421021,6 2018,6.4671400000000006,0.7509501901976614
