Date,Vesssel class,Applicable Time Charter Index,Vessel Time Charter Rates,model_id
2020-03-06 00:00:00.000,Capesize,Capesize_General,3351.333333333333,model_8
2020-03-06 00:00:00.000,Panamax,Panamax_General,6946.333333333332,model_8
2020-03-06 00:00:00.000,Supramax,Supramax_General,5566.333333333332,model_8
2020-03-06 00:00:00.000,Handysize,Handysize_General,5566.333333333332,model_8
2020-03-06 00:00:00.000,Panamax,P3A_03,6946.333333333332,model_8
2020-03-13 00:00:00.000,Capesize,Capesize_General,3422.333333333333,model_8
2020-03-13 00:00:00.000,Panamax,Panamax_General,7538.666666666668,model_8
2020-03-13 00:00:00.000,Supramax,Supramax_General,6395.0,model_8
2020-03-13 00:00:00.000,Handysize,Handysize_General,6395.0,model_8
2020-03-13 00:00:00.000,Panamax,P3A_03,7538.666666666668,model_8
2020-03-20 00:00:00.000,Capesize,Capesize_General,3451.333333333333,model_8
2020-03-20 00:00:00.000,Panamax,Panamax_General,6764.666666666668,model_8
2020-03-20 00:00:00.000,Supramax,Supramax_General,6671.333333333332,model_8
2020-03-20 00:00:00.000,Handysize,Handysize_General,6671.333333333332,model_8
2020-03-20 00:00:00.000,Panamax,P3A_03,6764.666666666668,model_8
2020-03-27 00:00:00.000,Capesize,Capesize_General,3771.0,model_8
2020-03-27 00:00:00.000,Panamax,Panamax_General,5208.5,model_8
2020-03-27 00:00:00.000,Supramax,Supramax_General,6593.0,model_8
2020-03-27 00:00:00.000,Handysize,Handysize_General,6593.0,model_8
2020-03-27 00:00:00.000,Panamax,P3A_03,5208.5,model_8
2020-04-03 00:00:00.000,Capesize,Capesize_General,8446.0,model_8
2020-04-03 00:00:00.000,Panamax,Panamax_General,5854.0,model_8
2020-04-03 00:00:00.000,Supramax,Supramax_General,5521.0,model_8
2020-04-03 00:00:00.000,Handysize,Handysize_General,5521.0,model_8
2020-04-03 00:00:00.000,Panamax,P3A_03,5854.0,model_8
2020-04-10 00:00:00.000,Capesize,Capesize_General,6424.0,model_8
2020-04-10 00:00:00.000,Panamax,Panamax_General,6758.0,model_8
2020-04-10 00:00:00.000,Supramax,Supramax_General,5117.666666666667,model_8
2020-04-10 00:00:00.000,Handysize,Handysize_General,5117.666666666667,model_8
2020-04-10 00:00:00.000,Panamax,P3A_03,6758.0,model_8
2020-04-17 00:00:00.000,Capesize,Capesize_General,6906.0,model_8
2020-04-17 00:00:00.000,Panamax,Panamax_General,7422.0,model_8
2020-04-17 00:00:00.000,Supramax,Supramax_General,4903.5,model_8
2020-04-17 00:00:00.000,Handysize,Handysize_General,4903.5,model_8
2020-04-17 00:00:00.000,Panamax,P3A_03,7422.0,model_8
2020-04-24 00:00:00.000,Capesize,Capesize_General,7919.333333333332,model_8
2020-04-24 00:00:00.000,Panamax,Panamax_General,6759.0,model_8
2020-04-24 00:00:00.000,Supramax,Supramax_General,4711.666666666667,model_8
2020-04-24 00:00:00.000,Handysize,Handysize_General,4711.666666666667,model_8
2020-04-24 00:00:00.000,Panamax,P3A_03,6759.0,model_8
2020-05-01 00:00:00.000,Capesize,Capesize_General,6668.0,model_8
2020-05-01 00:00:00.000,Panamax,Panamax_General,5884.0,model_8
2020-05-01 00:00:00.000,Supramax,Supramax_General,4724.0,model_8
2020-05-01 00:00:00.000,Handysize,Handysize_General,4724.0,model_8
2020-05-01 00:00:00.000,Panamax,P3A_03,5884.0,model_8
2020-05-08 00:00:00.000,Capesize,Capesize_General,6592.5,model_8
2020-05-08 00:00:00.000,Panamax,Panamax_General,5856.5,model_8
2020-05-08 00:00:00.000,Supramax,Supramax_General,4866.5,model_8
2020-05-08 00:00:00.000,Handysize,Handysize_General,4866.5,model_8
2020-05-08 00:00:00.000,Panamax,P3A_03,5856.5,model_8
2020-05-15 00:00:00.000,Capesize,Capesize_General,3118.333333333333,model_8
2020-05-15 00:00:00.000,Panamax,Panamax_General,6013.333333333332,model_8
2020-05-15 00:00:00.000,Supramax,Supramax_General,5138.0,model_8
2020-05-15 00:00:00.000,Handysize,Handysize_General,5138.0,model_8
2020-05-15 00:00:00.000,Panamax,P3A_03,6013.333333333332,model_8
2020-05-22 00:00:00.000,Capesize,Capesize_General,5601.666666666668,model_8
2020-05-22 00:00:00.000,Panamax,Panamax_General,6048.0,model_8
2020-05-22 00:00:00.000,Supramax,Supramax_General,5471.666666666667,model_8
2020-05-22 00:00:00.000,Handysize,Handysize_General,5471.666666666667,model_8
2020-05-22 00:00:00.000,Panamax,P3A_03,6048.0,model_8
2020-05-29 00:00:00.000,Capesize,Capesize_General,4581.0,model_8
2020-05-29 00:00:00.000,Panamax,Panamax_General,7256.0,model_8
2020-05-29 00:00:00.000,Supramax,Supramax_General,6350.0,model_8
2020-05-29 00:00:00.000,Handysize,Handysize_General,6350.0,model_8
2020-05-29 00:00:00.000,Panamax,P3A_03,7256.0,model_8
2020-06-05 00:00:00.000,Capesize,Capesize_General,6862.75,model_8
2020-06-05 00:00:00.000,Panamax,Panamax_General,7580.0,model_8
2020-06-05 00:00:00.000,Supramax,Supramax_General,6249.25,model_8
2020-06-05 00:00:00.000,Handysize,Handysize_General,6249.25,model_8
2020-06-05 00:00:00.000,Panamax,P3A_03,7580.0,model_8
2020-06-12 00:00:00.000,Capesize,Capesize_General,11097.0,model_8
2020-06-12 00:00:00.000,Panamax,Panamax_General,7532.25,model_8
2020-06-12 00:00:00.000,Supramax,Supramax_General,6475.75,model_8
2020-06-12 00:00:00.000,Handysize,Handysize_General,6475.75,model_8
2020-06-12 00:00:00.000,Panamax,P3A_03,7532.25,model_8
2020-06-19 00:00:00.000,Capesize,Capesize_General,18873.75,model_8
2020-06-19 00:00:00.000,Panamax,Panamax_General,8390.75,model_8
2020-06-19 00:00:00.000,Supramax,Supramax_General,7105.25,model_8
2020-06-19 00:00:00.000,Handysize,Handysize_General,7105.25,model_8
2020-06-19 00:00:00.000,Panamax,P3A_03,8390.75,model_8
2020-06-26 00:00:00.000,Capesize,Capesize_General,28206.0,model_8
2020-06-26 00:00:00.000,Panamax,Panamax_General,9770.8,model_8
2020-06-26 00:00:00.000,Supramax,Supramax_General,7322.8,model_8
2020-06-26 00:00:00.000,Handysize,Handysize_General,7322.8,model_8
2020-06-26 00:00:00.000,Panamax,P3A_03,9770.8,model_8
2015-01-01 00:00:00.000,VLOC,VLOC_General,7521.63269230769,model_9
2016-01-01 00:00:00.000,VLOC,VLOC_General,6939.74119496855,model_9
2017-01-01 00:00:00.000,VLOC,VLOC_General,15075.6967948718,model_9
