Mine,Date,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties to be applied,DWT,Specific Index,General Index,Exporting Port,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates,Spare,model_id
Mirai,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Mirai wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Rondon do Para,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Rondon do Para wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Paragominas,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Paragominas wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Juruti,2015-01-01 00:00:00.000,0.52,0.475,0.045,0.041,0.004,0.00400000000000004,0.12,LT,,,CBIX LT,CBIX LT,Juruti_wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Cataguases,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Cataguases wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
"Pocos de Caldas, Alcoa",2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,"Pocos de Caldas, Alcoa wharf",30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Brazil others,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Brazil others wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Dom. Rep.,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Dom. Rep. wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Aurum Xinfa-Fiji,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Aurum Xinfa-Fiji wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Awaso,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Awaso wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
