,,Bx origin Prov,Bx Origin Cty,Refiney No.,Refiney Name,Refiney Prov,Allocation,Self Supply,Factored up allocation
,59,Guizhou,Fuquan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,60,Guizhou,Guiyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,61,Guizhou,Huangping,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,62,Guizhou,Kaili,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,63,Guizhou,Kaiyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,64,Guizhou,Jinsha,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,65,Guizhou,Longli,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,66,Guizhou,Qingzhen,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,67,Guizhou,Tongzi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,68,Guizhou,Weng'an,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,69,Guizhou,Wuchuan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,70,Guizhou,Xifeng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,71,Guizhou,Xiuwen,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,72,Guizhou,Zheng'an,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,73,Guizhou,Zhijin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,74,Guizhou,Zunyi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,75,Guizhou,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,76,Hainan,Wenchang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,77,Hainan,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,78,Hebei,Fengfeng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,79,Hebei,Jingxing,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,80,Hebei,Tangshan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,81,Hebei,Wu'an,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,82,Hebei,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,83,Henan,Baofeng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,84,Henan,Dengfeng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,85,Henan,Gongyi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,86,Henan,Hubin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,87,Henan,Jiaxian,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,88,Henan,Jiyuan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,89,Henan,Lushan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,90,Henan,Mianchi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,91,Henan,Pingdingshan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,92,Henan,Qinyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,93,Henan,Ruyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,94,Henan,Ruzhou,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,95,Henan,Sanmenxia,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,96,Henan,Shaan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,97,Henan,Xin'an,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,98,Henan,Xingyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,99,Henan,Xinmi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,100,Henan,Yanshi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
