,initialisation,bar,x,line 1,line 2,line 3,line 4,line 5,line 6,line 7,line 8,line 9,line 10,labels for cc
159,bar 32,32.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
160,bar 32 end,32.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
161,bar 33 start,33.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
162,bar 33,33.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
163,bar 33 naming,33.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
164,bar 33,33.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
165,bar 33 end,33.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
166,bar 34 start,34.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
167,bar 34,34.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
168,bar 34 naming,34.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
169,bar 34,34.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
170,bar 34 end,34.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
171,bar 35 start,35.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
172,bar 35,35.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
173,bar 35 naming,35.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
174,bar 35,35.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
175,bar 35 end,35.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
