Available Alumina Check,Reactive Silica Check,Contract Date
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/甘马挽|"
,铝矿砂,"天然粉红色粉末;AL2O3：53.56%,SIO2：10.9%"
,氧化铝,"天然开采|红褐色颗粒|AL2O3:42-43%,SIO2:6-7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,氧化铝,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.7%,SiO2:5.8%,水分:11%|来源:GOVE NORTHERN TERRITORY,AUSTRALIA|"
,铝矿砂,"'天然开采|红褐色颗粒|AL2O3：46-47%,SIO2:4.5-5.5%,水≤18%,其他:29.5%|"
,铝矾土,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,"水洗,破碎|红褐色|AL2O3:52.73%|","天然开采|红褐色颗粒|AL2O3:42-43%,SIO2:6-7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,"水洗,破碎|红褐色|AL2O3:52.73%|",开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:52.91% Si02:10.46% TiO2:2.58% 水份:13.3%|开采AUSTRALIA WEIPA铝矿山|
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：51%,SIO2:2%,水≤11%,其他:36%|加纳/TAKORADI|"
,氧化铝,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:54.38% Si02:10.46% TiO2:2.04% 水份:12.1%|开采AUSTRALIA WEIPA铝矿山|
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他:40.5%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他:40.5%|印度/古吉拉特邦|"
,铝矿砂,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.7%,SiO2:5.8%,水分:11%|来源:GOVE NORTHERN TERRITORY,AUSTRALIA|"
,铝矿砂,破碎，研磨，煅烧|灰白色|氧化铝89%，二氧化硅2.5%，二氧化碳3%，氧化铁1.25%|矿山采矿得来|
,铝矾土,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/甘马挽|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他:40.5%|印度/古吉拉特邦|"
,氧化铝,加工方法：天然原矿|外观：天然砖红色颗粒|成分含量
,铝矿砂,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,铝矿砂,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.5%,SiO2:5.2%,水分:11.2|来源:GOVE NORTHERN TERRITORY,AUSTRALIA|"
,铝矾土,"天然|红色颗粒|AL2O3:47.45%,SIO2:4.95%,FE2O3:10.10%,TI02:2.60%,L.O.I:27.83%,H20:10.77%|来源:NEW AMSTERDAM,GUYANA矿区|"
,氧化铝,"天然开采|颗粒|AL2O3≥43%,SIO2≤7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,铝矾土,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矾土,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,氧化铝,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矾土,"天然粉红色粉末;AL2O3:54.25%,SIO2:10.41%"
,铝矿砂,"'天然开采|红褐色颗粒|AL2O3：46-47%,SIO2:4.5-5.5%,水≤18%,其他:29.5%|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：51%,SIO2:2%,水≤11%,其他:36%|加纳/TAKORADI|"
,"天然开采|红褐色颗粒状|AL2O3：47.96%,水分12.84%|印度尼西亚 矿区：Bintan|无合同无签约日期","天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA|"
,加工方法：矿石粉碎|外观：粉末 灰色|成分含量：100%铝土矿|来源（印尼产区）|签约日期:2007.7.25|无其他申报要素,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.71%,RSiO2:4.64%,水分:8.86%|来源:PORTO TROMBETAS,BRAZIL|"
,加工方法:天然开采|外观：红棕色颗粒或粉末|成分含量：氧化铝80%，其他20%|来源矿区 TOLL PRIORITY|签约日期 2017.09.01,加工方法：天然原矿|外观：天然砖红色颗粒|成分含量
,加工方法：矿石粉碎|外观：灰色粉末|成分含量：100%铝土矿|天然开采|签约日期:2017.9.14,"天然开采|红褐色颗粒|AL2O3：45%,SIO2:4-5%,水≤15%,其他约35%|马来西亚/关丹|"
,原矿|红褐色粉状|AL2O3:52.88%|澳大利亚|签约日:20170828,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他约40.5%|印度/古吉拉特邦|"
,"水洗、破碎|红褐色|AL2O3：51.07%,FE2O3：17.56%,TIO2：1.89%，水：11.4%|AWASO矿区|签约日期：2017年9月25日","天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,矿山开采破碎|红褐色|AL:203：50.75%水分：15.61%|西加里曼丹|20171009,"天然开采|颗粒|AL2O3：54.78%,SIO2:10.63%,水:12.4%,其他:22.19%|澳大利亚/WEIPA|"
,"矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:51.34%,FE2O3:17.40%|AWASO矿区|2017年10月24日","'天然开采|红褐色颗粒|AL2O3：46-47%,SIO2:4.5-5.5%,水≤18%,其他:29.5%|"
,天然红褐色颗粒状,"加工方法：筛选|外观：天然粉红色粉末|成分含量：AL2O3:49.9%,FE2O3:15.5%,SIO2:5.7%,水分：9.4%|来源：澳大利亚，高夫|"
,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:50.28%,FE2O3:17.67%|AWASO矿区|2017年11月29日","加工方法：天然原矿|外观:天然砖红色颗粒|成分含量：AL2O3：25.63%,SIO2：3.42%,水份:17.62%"
,"0|3|水洗、破碎|红褐色|AL2O3：51.34%;FE2O3：17.4%|AWASO,GHANA|2017.10.24","加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.7%,SiO2:5.8%,水分:11%|来源:GOVE NORTHERN TERRITORY,AUSTRALIA"
,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:50.94%,FE2O3:19.12%|AWASO矿区|2017年11月14日","加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.8%,SiO2:4.7%,水分:10.6%|来源:GOVENORTHERNTERRITORY,AUSTRALIA"
,0|3|原矿|红褐色块状|AI2O3：47.98% 水分：12.1%|印度尼西亚|20180202,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:53.28% Si02:11.02% 水份:12.8%|开采RIO TINTO ALCAN WEIPA铝矿山|
,天然红褐色颗粒状,"天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%|"
,天然红褐色颗粒状,天然粉红色粉末;;AL2O3：53.14%，SIO2：11.04%
,天然红褐色颗粒状,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:42.78% Si02:4.31% 水份:18.06%|开采KUANTAN MALAYSIA铝矿山|
,天然红褐色颗粒状,天然粉红色粉末;;AL2O3：53.14%，SIO2：11.04%
,0|3|原矿|红褐色|AI2O3：47.19% 水分：13.07%|西加|20180413,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.84%,RSiO2:4.53%,水分:5.34%|来源:PORTO TROMBETAS-BRAZIL|"
,0|3|原矿|红褐色|AI2O3：47.6% 水分：12.48%|西加|20180420,"开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3:42.37%,SIO2:3.92%,TIO2:4.68%,水分:16.78%|MALAYSIA|"
,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:50.37%,FE2O3:18.43%|AWASO矿区|2018年3月30日",铝钒土
,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:50.35%,FE2O3:18.43%|AWASO矿区|2018年3月16日","天然开采|红褐色颗粒|AL2O3：45%,SIO2:4-5%,水≤15%,其他约35%|马来西亚/关丹"
,0|3|原矿|红褐色|AI2O3：47.97% 水分：14.58%|印尼西加|20180509,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹"
