Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,Bauxite Self Supply,Bauxite Origin Province,Bauxite Origin Province Category,Bauxite Origin County,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
30.1,Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,1,Xin'an,Henan,Xin'an,,2.620973368,2.641228376,2.65226088,2.657386926,2.662314444,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102
30.1,Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,0.5,Yichuan,Henan,Yichuan,,2.620973368,2.641228376,2.65226088,2.657386926,2.662314444,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102
33,Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,0.85,Mianchi,Henan,Mianchi,,2.461606171,2.518452298,2.591104831,2.665503471,0,0,0,0,0,0,0,0,0
33,Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,0,Ruzhou,Henan,Ruzhou,,2.461606171,2.518452298,2.591104831,2.665503471,0,0,0,0,0,0,0,0,0
33,Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,0,Xinmi,Henan,Xinmi,,2.461606171,2.518452298,2.591104831,2.665503471,0,0,0,0,0,0,0,0,0
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,Baofeng,Henan,Baofeng,,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0.7,Dengfeng,Henan,Dengfeng,,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,Ruzhou,Henan,Ruzhou,,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,Xinmi,Henan,Xinmi,,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,Yuzhou,Henan,Yuzhou,,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659
54,Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Domestic,0,Lin,Shanxi,Lin,,2.462831313,2.52202879,2.589020322,2.650009236,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504
