Exporter.Importer Combination,Exporter,Importer,Ranking total,Total,last Char() as code,First Char() as code,Rank
Germany_Netherlands,Germany,Netherlands,0.00016350095226219267,0.0001635,71,115,157.0
Germany_Philippines,Germany,Philippines,1.1189288593564562e-09,1.6666666666666663e-10,71,115,332.0
Germany_Poland,Germany,Poland,0.0010826675766753382,0.0010826666666666667,71,100,107.0
Germany_Romania,Germany,Romania,0.000131167568224634,0.00013116666666666667,71,97,163.0
Germany_Russia,Germany,Russia,4.638401557967338e-06,4.6375e-06,71,97,264.0
Germany_Serbia,Germany,Serbia,1.2000901557967338e-05,1.2e-05,71,97,242.0
Germany_Slovakia,Germany,Slovakia,0.00028150090155796734,0.0002815,71,97,139.0
Australia_United Kingdom,Australia,United Kingdom,2.0009637031461023e-06,2e-06,65,109,284.0
Germany_Slovenia,Germany,Slovenia,4.500901557967338e-06,4.5e-06,71,97,266.0
Germany_Spain,Germany,Spain,0.0005442509381776856,0.00054425,71,110,126.0
Germany_Sweden,Germany,Sweden,0.00013866760484435232,0.00013866666666666666,71,110,159.0
Germany_Switzerland,Germany,Switzerland,2.0500910008671564e-05,2.05e-05,71,100,224.0
Germany_Taiwan,Germany,Taiwan,9.183427151101899e-05,9.183333333333335e-05,71,110,170.0
Germany_Turkey,Germany,Turkey,7.34691636011405e-08,7.250000000000001e-08,71,121,314.0
Germany_Ukraine,Germany,Ukraine,3.350091282557297e-05,3.35e-05,71,101,205.0
Germany_United Arab Emirates,Germany,United Arab Emirates,1.334285595526023e-06,1.3333333333333332e-06,71,115,289.0
Germany_United Kingdom,Germany,United Kingdom,7.283426869411759e-05,7.283333333333335e-05,71,109,178.0
Ghana_Brazil,Ghana,Brazil,0.050541455849210555,0.05054145491666667,71,108,26.0
Australia_United States,Australia,United States,0.10099791764883134,0.10099791666666666,65,115,22.0
Ghana_Canada,Ghana,Canada,0.03799642756822463,0.037996426666666666,71,97,30.0
Ghana_China,Ghana,China,9.01557967337677e-10,0.0,71,97,357.0
Ghana_Germany,Ghana,Germany,5.305096916360114e-05,5.305e-05,71,121,189.0
Ghana_India,Ghana,India,1.0350901557967339e-05,1.0350000000000001e-05,71,97,246.0
Ghana_Senegal,Ghana,Senegal,0.0014886675992105496,0.0014886666666666668,71,108,99.0
Ghana_Spain,Ghana,Spain,0.02823900768817768,0.028239006749999997,71,110,35.0
Ghana_Ukraine,Ghana,Ukraine,0.02750030882949224,0.027500307916666668,71,101,36.0
Ghana_United States,Ghana,United States,1.845226219268979e-08,1.75e-08,71,115,322.0
Greece_Belgium,Greece,Belgium,0.022030000935360786,0.02203,71,109,41.0
Greece_Croatia,Greece,Croatia,0.007087167568224634,0.007087166666666667,71,97,61.0
Austria_France,Austria,France,7.766760575442814e-05,7.766666666666665e-05,65,101,174.0
Greece_France,Greece,France,0.06977858424615892,0.06977858333333334,71,101,24.0
Greece_Ireland,Greece,Ireland,0.0008668342433420049,0.0008668333333333333,71,100,115.0
Greece_Israel,Greece,Israel,8.342658772161641e-07,8.333333333333334e-07,71,108,293.0
Greece_Italy,Greece,Italy,0.0009545843024969345,0.0009545833333333333,71,121,113.0
Greece_Latvia,Greece,Latvia,0.00016750090155796734,0.0001675,71,97,155.0
Greece_Norway,Greece,Norway,1.6167635830267807e-05,1.6166666666666665e-05,71,121,232.0
Greece_Philippines,Greece,Philippines,1.259522621926898e-07,1.25e-07,71,115,307.0
Greece_Romania,Greece,Romania,0.00013375090155796733,0.00013375,71,97,160.0
Greece_Serbia,Greece,Serbia,1.9175682246340046e-06,1.916666666666667e-06,71,97,286.0
Greece_Ukraine,Greece,Ukraine,0.011657750912825574,0.01165775,71,101,49.0
Austria_Germany,Austria,Germany,3.3343339595563592e-06,3.3333333333333337e-06,65,121,272.0
Greece_United Kingdom,Greece,United Kingdom,0.0022983342686941173,0.0022983333333333332,71,109,81.0
Guinea_Canada,Guinea,Canada,0.18316400090155796,0.183164,71,97,17.0
Guinea_China,Guinea,China,6.841499000901558,6.841499,71,97,2.0
Guinea_France,Guinea,France,0.15276783424615892,0.15276783333333335,71,101,19.0
Guinea_Germany,Guinea,Germany,0.5980858343024971,0.5980858333333334,71,121,9.0
Guinea_Greece,Guinea,Greece,0.007455584246158905,0.007455583333333332,71,101,60.0
Guinea_India,Guinea,India,0.39422951090155794,0.39422950999999995,71,97,11.0
Guinea_Ireland,Guinea,Ireland,0.7632705009100086,0.7632705,71,100,7.0
Guinea_Spain,Guinea,Spain,0.9402587509381776,0.9402587499999999,71,110,4.0
Guinea_Ukraine,Guinea,Ukraine,0.8777530218294922,0.8777530209166666,71,101,6.0
Belgium_France,Belgium,France,0.0013982509343791368,0.00139825,66,101,103.0
Guinea_United States,Guinea,United States,9.522621926897895e-10,0.0,71,115,342.0
Guyana_Australia,Guyana,Australia,0.00017837965155796735,0.00017837875000000002,71,97,153.0
Guyana_Brazil,Guyana,Brazil,0.00040107793254388284,0.000401077,71,108,129.0
Guyana_Canada,Guyana,Canada,0.0009120009015579674,0.000912,71,97,114.0
Guyana_China,Guyana,China,9.01557967337677e-10,0.0,71,97,357.0
Guyana_France,Guyana,France,0.0017437509128255728,0.0017437499999999999,71,101,92.0
Guyana_India,Guyana,India,0.00022169756822463401,0.00022169666666666668,71,97,145.0
Guyana_Russia,Guyana,Russia,5.039234891300671e-06,5.038333333333333e-06,71,97,262.0
Guyana_Spain,Guyana,Spain,0.0019454176048443524,0.0019454166666666667,71,110,89.0
Guyana_Turkey,Guyana,Turkey,0.00021192596916360114,0.000211925,71,121,146.0
Belgium_Germany,Belgium,Germany,0.0003763343283185307,0.00037633333333333334,66,121,132.0
Guyana_Ukraine,Guyana,Ukraine,0.3721302909128256,0.37213029000000003,71,101,13.0
Guyana_United States,Guyana,United States,0.04455300095226219,0.044552999999999995,71,115,28.0
Hong Kong_Brazil,Hong Kong,Brazil,0.00038400092831853067,0.00038399999999999996,72,108,131.0
Hong Kong_India,Hong Kong,India,0.0023096675644296415,0.0023096666666666665,72,97,79.0
India_Algeria,India,Algeria,8.334227405288709e-06,8.333333333333334e-06,73,97,251.0
India_Argentina,India,Argentina,0.0002083342274052887,0.00020833333333333332,73,97,147.0
India_Australia,India,Australia,8.95922740528871e-06,8.958333333333335e-06,73,97,250.0
India_Bangladesh,India,Bangladesh,0.00013150091325003758,0.0001315,73,104,162.0
India_Belgium,India,Belgium,0.0001666675936153344,0.0001666666666666667,73,109,156.0
India_Brazil,India,Brazil,7.083425754227502e-05,7.083333333333334e-05,73,108,180.0
Belgium_Spain,Belgium,Spain,9.616518640512919e-10,0.0,66,110,338.0
India_Bulgaria,India,Bulgaria,2.6667560738622047e-05,2.666666666666667e-05,73,97,211.0
India_China,India,China,8.940719553754928e-10,0.0,73,97,360.0
India_Colombia,India,Colombia,4.167560738622043e-06,4.166666666666667e-06,73,97,267.0
India_Cuba,India,Cuba,5.0000894071955376e-05,5e-05,73,97,191.0
India_France,India,France,0.00019462640503085945,0.00019462549999999998,73,101,150.0
India_Germany,India,Germany,0.0005881738764920467,0.0005881729166666667,73,121,122.0
India_Guatemala,India,Guatemala,7.500089407195538e-05,7.500000000000001e-05,73,97,177.0
India_Guinea,India,Guinea,3.4227405288708824e-08,3.3333333333333334e-08,73,97,319.0
India_Indonesia,India,Indonesia,0.0002750008940719553,0.00027499999999999996,73,97,140.0
India_Iran,India,Iran,3.426302172706499e-08,3.3333333333333334e-08,73,110,318.0
Australia_China,Australia,China,11.507915000926781,11.507915,65,97,1.0
Brazil_Argentina,Brazil,Argentina,0.0054157369222579245,0.005415736,66,97,66.0
India_Italy,India,Italy,0.0010486676264920467,0.0010486666666666667,73,121,109.0
India_Japan,India,Japan,8.666759635506042e-05,8.666666666666668e-05,73,110,172.0
India_Kenya,India,Kenya,5.0894071955375494e-08,5.0000000000000004e-08,73,97,316.0
"India_Korea, South",India,"Korea, South",0.00019693424658337092,0.00019693333333333334,73,104,149.0
India_Kuwait,India,Kuwait,0.049767167612793414,0.04976716666666666,73,116,27.0
India_Malaysia,India,Malaysia,2.3750894071955378e-05,2.375e-05,73,97,216.0
India_Mexico,India,Mexico,3.3350932428119766e-05,3.3350000000000004e-05,73,111,206.0
India_Nepal,India,Nepal,0.0363671375908756,0.03636713666666666,73,108,31.0
India_New Zealand,India,New Zealand,1.550090229113346e-05,1.55e-05,73,100,234.0
India_Nigeria,India,Nigeria,2.5000894071955378e-05,2.5e-05,73,97,214.0
Brazil_Australia,Brazil,Australia,5.599838924591325e-06,5.5989166666666674e-06,66,97,260.0
India_Oman,India,Oman,0.002833334263021727,0.0028333333333333335,73,110,75.0
India_Qatar,India,Qatar,0.017720258607313966,0.01772025766666667,73,114,44.0
India_Russia,India,Russia,1.0000894071955374e-05,9.999999999999999e-06,73,97,248.0
India_Saudi Arabia,India,Saudi Arabia,0.00026666756073862204,0.0002666666666666667,73,97,142.0
India_Slovenia,India,Slovenia,0.0024301675607386218,0.0024301666666666664,73,97,78.0
India_South Africa,India,South Africa,1.2167560738622041e-05,1.2166666666666667e-05,73,97,240.0
India_Spain,India,Spain,0.00039480509635506035,0.00039480416666666664,73,110,130.0
India_Sri Lanka,India,Sri Lanka,1.2500894071955375e-05,1.25e-05,73,97,239.0
India_Sudan,India,Sudan,3.3342630217270656e-06,3.3333333333333337e-06,73,110,273.0
India_Sweden,India,Sweden,9.296883937316572e-10,0.0,73,110,346.0
Brazil_Belgium,Brazil,Belgium,9.586215610209889e-10,0.0,66,109,339.0
India_Taiwan,India,Taiwan,2.0834263021727063e-05,2.0833333333333333e-05,73,110,223.0
India_Tanzania,India,Tanzania,1.0089407195537549e-07,1e-07,73,97,309.0
India_Thailand,India,Thailand,1.6667568957800122e-05,1.6666666666666664e-05,73,100,229.0
India_Turkey,India,Turkey,0.00013300095982538002,0.00013299999999999998,73,121,161.0
India_United Arab Emirates,India,United Arab Emirates,1.7927672035720196e-07,1.7833333333333333e-07,73,115,303.0
India_United Kingdom,India,United Kingdom,0.0005708342602820009,0.0005708333333333332,73,109,124.0
India_United States,India,United States,4.200094338702388e-05,4.200000000000001e-05,73,115,198.0
India_Vietnam,India,Vietnam,0.00012083426028200102,0.00012083333333333332,73,109,166.0
Indonesia_China,Indonesia,China,4.1395520008940725,4.139552,73,97,3.0
