,province,refinery,drawdowntechfactorinputs1_id,factorx,Bauxite Consumption,bayerconstant
176,Guangxi,SPIC Shanxi import,366.0,10.0,0.1,1.0
177,Guangxi,Dongxu Tianyuan,371.0,5.0,0.1,1.23
178,Guangxi,Dongxu Tianyuan import,376.0,5.0,0.1,1.0
179,Guangxi,East Hope Lingshi,381.0,5.0,0.1,1.23
180,Guangxi,East Hope Lingshi Import,386.0,5.0,0.1,1.0
181,Guangxi,Huaqing,391.0,5.0,0.1,1.23
182,Guangxi,Qiangjin Aluminium,396.0,5.0,0.1,1.23
183,Guangxi,Senze,401.0,5.0,0.1,1.23
184,Guangxi,Taixing,406.0,5.0,0.1,1.23
185,Guangxi,Wusheng,411.0,5.0,0.1,1.23
186,Guangxi,Xinfa - Jiaokou,416.0,5.0,0.1,1.23
187,Guangxi,Xinfa - Xiaoyi,421.0,5.0,0.1,1.23
188,Guangxi,Xingan Chemical,426.0,5.0,0.1,1.23
189,Guangxi,Huayin,36.0,1.8,0.1,1.23
190,Guangxi,Xingan Chemical import,431.0,5.0,0.1,1.0
191,Guangxi,Yangquan Zhaofeng,436.0,5.0,0.1,1.23
192,Guangxi,Gangyuan Jiaohua,441.0,5.0,0.1,1.23
193,Guangxi,Tiantong,456.0,5.0,0.1,1.23
194,Guangxi,Fusheng,461.0,5.0,0.1,1.23
195,Guangxi,YMG - Wenshan,466.0,5.0,0.1,1.23
196,Guangxi,Guangxi - blending,471.0,10.0,0.1,1.0
197,Guangxi,Guizhou - blending,476.0,10.0,0.1,1.0
198,Guizhou,Bosai Xianfeng domestic,2.0,1.0,0.1,1.23
199,Guizhou,Jinjiang Tiandong,42.0,2.0,0.1,1.23
200,Guizhou,Henan - blending,482.0,2.0,0.1,1.0
201,Guizhou,Shanxi - blending,487.0,2.0,0.1,1.0
202,Guizhou,Other - blending,492.0,2.0,0.1,1.0
203,Guizhou,Xinfa Jingxi,47.0,2.0,0.1,1.23
204,Guizhou,Chalco Huaxing,347.0,2.0,0.1,1.23
205,Guizhou,Tiangui,57.0,2.0,0.1,1.23
206,Guizhou,Jinjiang Longzhou,32.0,2.0,0.1,1.23
207,Guizhou,Huasheng,52.0,2.0,0.1,1.0
208,Guizhou,Chalco Xinghua,447.0,2.0,0.1,1.23
209,Guizhou,Chalco Xinghua import,452.0,2.0,0.1,1.0
210,Guizhou,Chalco Guizhou,62.0,2.0,0.1,1.23
211,Guizhou,Chalco Zunyi,67.0,2.0,0.1,1.23
212,Guizhou,Xian,72.0,2.0,0.1,1.23
213,Guizhou,Huafei,77.0,3.0,0.1,1.23
214,Guizhou,Bosai Xianfeng import,7.0,2.0,0.1,1.0
215,Guizhou,Qingzhen Guanglv,82.0,3.0,0.1,1.23
216,Guizhou,Qizheng Chemical,87.0,3.0,0.1,1.23
217,Guizhou,Qizheng Chemical Added LT,92.0,3.0,0.1,1.0
218,Guizhou,SPIC - Wuchuan,97.0,3.0,0.1,1.23
219,Guizhou,Kaisheng,102.0,1.0,0.1,1.23
220,Guizhou,Huajin,107.0,3.0,0.1,1.23
221,Guizhou,Chalco Zhengzhou domestic,112.0,2.0,0.1,1.23
222,Guizhou,Chalco Zhengzhou import,117.0,2.0,0.1,1.0
223,Guizhou,Chalco Zhongzhou Dom. Sinter,122.0,2.0,0.1,1.23
224,Guizhou,Chalco Zhongzhou Dom. Bayer,127.0,2.0,0.1,1.23
225,Guizhou,Bosai Wanzhou,12.0,3.0,0.1,1.0
226,Guizhou,Chalco Zhongzhou LT Amt,132.0,2.0,0.1,1.0
227,Guizhou,Kaiman,137.0,2.0,0.1,1.23
228,Guizhou,Kaiman Import,142.0,2.0,0.1,1.0
229,Guizhou,East Hope Mianchi,147.0,2.0,0.1,1.23
230,Guizhou,East Hope Mianchi Added LT,152.0,2.0,0.1,1.0
231,Guizhou,Huiyuan Lushan,157.0,2.0,0.1,1.23
232,Guizhou,Jingxin,162.0,2.0,0.1,1.23
233,Guizhou,Shenhuo,167.0,2.0,0.1,1.23
234,Guizhou,Wanji,172.0,2.0,0.1,1.23
235,Guizhou,Wanji import,177.0,3.0,0.1,1.0
236,Guizhou,Shuijiang,17.0,2.0,0.1,1.23
237,Guizhou,Weilai,182.0,2.0,0.1,1.23
238,Guizhou,Yifeng Gongyi (Yulian Xinya),187.0,2.0,0.1,1.23
239,Guizhou,Yima Yixiang,192.0,2.0,0.1,1.23
240,Guizhou,Zhongmei,197.0,2.0,0.1,1.23
241,Guizhou,Shaoxing,202.0,2.0,0.1,1.23
242,Guizhou,Zhongchao,207.0,2.0,0.1,1.23
243,Guizhou,Jialu Xianfeng,212.0,2.0,0.1,1.23
244,Guizhou,Jinshi,217.0,2.0,0.1,1.23
245,Guizhou,Huixiang,222.0,2.0,0.1,1.23
246,Guizhou,Xinwang L-B,227.0,2.0,0.1,1.0
247,Guizhou,Tuoyuan,22.0,2.0,0.1,1.23
248,Guizhou,Xinwang H-B,232.0,2.0,0.1,1.23
249,Guizhou,Datang Tuoketuo Fly Ash,237.0,2.0,0.1,1.0
250,Guizhou,Mengxi Fly Ash,242.0,2.0,0.1,1.0
251,Guizhou,Mengxi import,247.0,3.0,0.1,1.0
252,Guizhou,Qihui H-B,252.0,2.0,0.1,1.0
253,Guizhou,Qihui L-B,257.0,2.0,0.1,1.0
254,Guizhou,Jinjiang Lianyungang,262.0,3.0,0.1,1.0
255,Guizhou,Chalco Lianyungang,267.0,3.0,0.1,1.0
256,Guizhou,Chalco Shandong L-B,272.0,2.0,0.1,1.0
257,Guizhou,Chalco Shandong sinter,277.0,2.0,0.1,1.23
258,Guizhou,Chalco Pingguo,27.0,1.0,0.1,1.23
259,Guizhou,Chalco Shandong sinter import,282.0,2.0,0.1,1.0
260,Guizhou,Chiping Xinfa L-B,287.0,2.0,0.1,1.0
261,Guizhou,Chiping Xinfa H-B,292.0,2.0,0.1,1.0
262,Guizhou,Lubei,297.0,2.0,0.1,1.0
263,Guizhou,Nanshan Donghai H-B,302.0,2.0,0.1,1.0
