AL2O3%,SIO2%,Working H2O_6
,,"0|3|天然原矿|红色颗粒|AL2O3:49.5%,SIO2:5.5%,FE2O3:16.2%,TIO2:2.9%,L.O.I:25.5%,杂质0.4%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.2%,SIO2:5.4%,FE2O3:16.7%,TIO2:2.9%,L.O.I:25.3%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.9%,SIO2:5%,FE2O3:17.5%,TIO2:3%,L.O.I:25.1%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.6%,SIO2:5%,FE2O3:16.4%,TIO2:3%,L.O.I:25.5%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.8%,SIO2:4.3%,FE2O3:16.8%,TIO2:3.1%,L.O.I:25.6%,杂质0.4%|澳大利亚高夫矿区|20160101"
,,4|3|低温煅烧|土状矿物|氧化铝60.2%，烧失量31.84%，氧化硅4.58%，氧化钛2.63%，氧化铁0.75%|GUYANA INDUSTRIAL MINERALS INC.|2018.4.8
,,0|3|原矿开采|红褐色，颗粒状|AL2O3:54.58%.FE2O3:20.85%.SIO2:1.97%.CAO:4.17%.TIO2:2.54%.S:0.03%.LOI:15.18%|ELMIN BAXUITES矿区|2018年5月30日
,,0|3|原矿|红褐色粉状|AL2O3:50.97% SIO2:11.68% |澳大利亚梅特罗铝土山|20180807
,,0|3|天然原矿|红色颗粒|AL2O3:49.1%.SIO2:5.1%.FE2O3:17.1%.TIO2:2.9%.L.O.I:25.4%.杂质0.4%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:49.8%.SIO2:4.9%.FE2O3:16.1%.TIO2:3%.L.O.I:25.7%.杂质0.5%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:48.5%.SIO2:5.9%.FE2O3:17.5%.TIO2:2.9%.L.O.I:24.8%.杂质0.4%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:49.3%.SIO2:5.9%.FE2O3:16.3%.TIO2:3%.L.O.I:25.1%.杂质0.4%|澳大利亚 GOVE矿区|20160101
,,0|3|加工方法: 未烧结|红色颗粒|成分：80.5%氧化铝； 11.27%二氧化硅； 8.23%氧化铁|具体矿区名称：Green Coast Mining|签约日期;2018/8/13
,,;红褐色颗粒;AL203:45.52%.SIO2:4.54
,,无品牌|3|粉碎，粗选|灰色颗粒状|三氧化二铝51.31%二氧化硅10.79%三氧化二铁10%|澳大利亚BAUXITEHILLS|2018.8.31
,,0|3|天然开采|红褐色颗粒|AL2O3:47.84%SIO2:0.33%FE2O3:18.36%TIO2:1.68%LOI:28.96%M;29.02%|所罗门群岛RENNELL ISLAND矿区|2018年8月3日|无其他
,,天然红褐色颗粒状
,,0|3|原矿|红褐色粉状|AL2O3:47.52% SIO2:0.64% |Discovery Bay.St.Ann.Jamaica|20180717
,,0|3|原矿|红褐色粉状|AL2O3:51.27% SIO2:10.05% |澳大利亚梅特罗铝土山|20180807
,,0|3|天然原矿|红色颗粒|AL2O3:49%.SIO2:4.7%.FE2O3:17.7%.TIO2:2.9%.L.O.I:25.3%.杂质0.4%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:49.9%.SIO2:5.4%.FE2O3:15.7%.TIO2:3%.L.O.I:25.5%.杂质0.5%|澳大利亚 GOVE矿区|20160101
,,0|3|矿山开采，筛选，破碎，水洗|红褐色块状|AL2O3:49.52%.FE2O3：18.79%，TIO2:1.89%.SIO2：2.54%，水:9.5%|AWASO|2018.07.11
,,0|3|矿山开采.筛选.破碎.水洗|红褐色块状|AL2O3:49.52%.FE2O3:18.79%|AWASO矿区|2018年7月11日
,,无品牌|3|粉碎，粗选|灰色颗粒状|三氧化二铝46.8%二氧化硅1.76%三氧化二铁23.2%|赤道几内亚KATOUGOUMA|2018.9.3
,,0|3|破碎，研磨，煅烧|灰白色|AL2O3:88.41%.SIO2:7.3%FE2O3:1.16%TIO2:2.8%MGO:0.04%CAO:0.01%|东蒙哥马利矿山EAST MONTGOMERY MINE|2018.08.16
,,0|3|破碎，研磨，煅烧|灰白色|AL2O3:88.41%.SIO2:7.3%FE2O3:1.16%TIO2:2.8%MGO:0.04%CAO:0.01%|东蒙哥马利矿山EAST MONTGOMERY MINE|2018.07.25
,,0|3|原矿|红褐色粉状|AL2O3:53.36% SIO2:9.78%|澳大利亚Weipa|20180914
,,0|3|原矿|红褐色粉状|AL2O3:48.14% SIO2:0.73% |Discovery Bay.St.Ann.Jamaica|20180717
,,0|3|原矿|红褐色粉状|AL2O3:50.29% SIO2:10.74% |澳大利亚梅特罗铝土山|20180807
,,0|3|天然原矿|红色颗粒|AL2O3:50.5%.SIO2:4.8%.FE2O3:15.2%.TIO2:3.1%.L.O.I:25.9%.杂质0.5%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:49%.SIO2:5.1%.FE2O3:17.3%.TIO2:2.9%.L.O.I:25.2%.杂质0.5%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:50.1%.SIO2:6%.FE2O3:14.7%.TIO2:3.1%.L.O.I:25.5%.杂质0.6%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:48.5%.SIO2:4.6%.FE2O3:18.5%.TIO2:2.9%.L.O.I:25.2%.杂质0.3%|澳大利亚 GOVE矿区|20160101
,,0|3|原矿石大小不一，经过破碎机加工成0mm-80mm颗粒状|颗粒状|AL2O3≥56.64%，SIO2≤1.99%.Fe3O4≤6.90%|印度孟买新|2018.07.27|无其他申报要素
,,无品牌|3|粉碎，粗选|灰色颗粒状|三氧化二铝46.92%二氧化硅1.69%三氧化二铁23.51%|几内亚KATOUGOUMA|2018.9.21
,,0|3|天然开采|红褐色颗粒|AL2O3:47.86%SIO2:0.23%FE2O3:18.36%TIO2:1.68%LOI:28.96%M;28.06%|所罗门群岛RENNELL ISLAND矿区|2018年8月3日|无其他
,,0|3|原矿开采，水洗|红褐色颗粒|AL2O3:48.34%.SIO2:3.9%.FE2O3:19.22%，LOI:25.02%.R.SIO2:1.94%|West Kalimantan矿区. Indonesia|2018年10月9日
,,4|3|煅烧破碎加工|灰色粉末|氧化铝60.09%.二氧化硅35.5%.碳化硅4.41%|西班牙安达卢西亚|2018年10月10日|ZHENGALUCRETE-167SR
,,4|3|煅烧破碎加工|灰色粉末|氧化铝74.57%.氧化镁24.28%.二氧化硅0.42%.氧化钙0.44%.氧化钠0.05%.氧化铁0.24%|西班牙安达卢西亚|2018年10月10日|ZHENGFOS-85 HS
,,4|3|煅烧破碎加工|灰色粉末|氧化铝47%.二氧化硅33%.氧化钡15%.氧化钙4.94%.氧化铁0.06%|西班牙安达卢西亚|2018年10月10日|ZHENGALUCRETE-FS
,,4|3|煅烧破碎加工|灰色粉末|氧化铝85.2%.氧化镁8.03%.氧化钙6.6%.氧化铁0.05%.氧化钠0.12%|西班牙安达卢西亚|2018年10月10日|ZHENGFOS-90Z
,,4|3|煅烧破碎加工|灰色粉末|氧化铝39.12%.氧化镁59.44%.二氧化硅1.11%.氧化铁0.33%|西班牙安达卢西亚|2018年10月10日|ZHENGTAG-CM
,,4|3|煅烧破碎加工|灰色粉末|二氧化硅20.85%.氧化钠1.36%.氧化钙0.56%.氧化钾0.55%.氧化铁0.09%.氧化镁0.27.氧化铝76.32%|西班牙安达卢西亚|2018年10月10日|ZHENGEROLOC-80
,,0|3|原矿|红褐色粉状|AL2O3:54.10% SIO2:9.18%|澳大利亚Weipa|20180914
,,0|3|天然开采|红褐色颗粒|AL2O3:48.55%SIO2:0.28%FE2O3:18.65%TIO2:1.68%LOI:28.96%M;29.65%|所罗门群岛RENNELL ISLAND矿区|2018年10月31日|无其他
,,4|3|煅烧破碎加工|灰色粉末|氧化铝47%.二氧化硅33%.氧化钡15%.氧化钙4.94%.氧化铁0.06%|西班牙安达卢西亚|2018年10月10日|ZHENGALUCRETE-FS
,,4|3|煅烧破碎加工|灰色粉末|二氧化硅20.85%.氧化钠1.36%.氧化钙0.56%.氧化钾0.55%.氧化铁0.09%.氧化镁0.27.氧化铝76.32%|西班牙安达卢西亚|2018年10月10日|ZHENGEROLOC-80
,,4|3|煅烧破碎加工|灰色粉末|氧化铝60.09%.二氧化硅35%.碳化硅4.41%|西班牙安达卢西亚|2018年10月10日|ZHENGALUCRETE-167SR
,,4|3|煅烧破碎加工|灰色粉末|氧化铝74.57%.氧化镁24.28%.二氧化硅0.47%.氧化钙0.44%.氧化钠0.05%.氧化铁0.24%|西班牙安达卢西亚|2018年10月10日|ZHENGFOS-85 HS
,,4|3|煅烧破碎加工|灰色粉末|氧化铝85.2%.氧化镁8.03%.氧化钙6.6%.氧化铁0.05%.氧化钠0.12%|西班牙安达卢西亚|2018年10月10日|ZHENGFOS-90Z
,,4|3|煅烧破碎加工|灰色粉末|氧化铝39.12%.氧化镁59.44%.二氧化硅1.11%.氧化铁0.33%|西班牙安达卢西亚|2018年10月10日|ZHENGTAG-CM
,,0|3|天然原矿|红色颗粒|AL2O3:48.7%.SIO2:5.3%.FE2O3:17.6%.TIO2:2.9%.L.O.I:25%.杂质0.5%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:48%.SIO2:4.4%.FE2O3:19.5%.TIO2:2.9%.L.O.I:24.9%.杂质0.3%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:49.5%.SIO2:4.8%.FE2O3:16.7%.TIO2:2.9%.L.O.I:25.6%.杂质0.5%|澳大利亚 GOVE矿区|20160101
,,0|3|天然原矿|红色颗粒|AL2O3:49.5%.SIO2:5.2%.FE2O3:16.2%.TIO2:3%.L.O.I:25.5%.杂质0.6%|澳大利亚 GOVE矿区|20160101
,,0|3|工方法;水洗|外观 红色粉末颗粒|成分含量三氧化二铝38%，二氧化硅17.7% 其余为杂质|来源（矿区名称）兰卡威岛 马来西亚|签约日期 2018年10月30日
,,0|3|矿山开采破碎|红褐色颗粒|AL:203：50.75%.FE2O3:12.6%.SIO2:9.68%|西加里曼丹矿区|2017年10月9日
,,0|3|加工方法;水洗原矿破碎处理|红褐色 颗粒|总氧化铝47.12% ;总二氧化硅 :11.50% ;三氧化二铁 : 16.26% ;烧失量 24.33%|来源（矿区名称）;印度尼西亚加里曼丹岛|签约日期：2018年10月15
,,0|3|破碎 筛选 水洗|红褐色块状|AL2O3:50.083%.FE2O3:17.561%.TIO2：1.744%.SIO2：2.39%.水8.9%|AWASO阿瓦索|2018.9.20
,,0|3|破碎 筛选 水洗|红褐色块|AL2O3:50.083%.FE2O3:17.561%.TIO2:1.744%.SIO2:2.390%.L.O.I.:27.522%.Moisture:8.900%|在AWASO 阿瓦索矿山开采 |2018年09月20日
,,"0|3|加工方法：湿法筛选|外观：呈不规则球形，大小不一黄褐色颗粒|成分含量：AL2O3:53.05%,SIO2:9.27%,FE2O3:12.02%,TIO2:2.2%,L.O.I.:22.8%|澳大利亚WEIPA矿山开采而得|合同签约日：20181130"
,,"0|3|原矿开采，水洗|红褐色颗粒|AL2O3:48.2%,SIO2:3.5%,FE2O3:19.36%，LOI:24.89%,R.SIO2:2.07%|West Kalimantan矿区, Indonesia|2018年10月9日"
,,"0|3|天然原矿|红色颗粒|AL2O3:48%,SIO2:5.3%,FE2O3:18.5%,TIO2:2.9%,L.O.I:24.9%,杂质0.4%|澳大利亚 GOVE矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:47.9%,SIO2:4.2%,FE2O3:19.7%,TIO2:2.8%,L.O.I:24.9%,杂质0.5%|澳大利亚 GOVE矿区|20160101"
,,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:48.85%,FE2O3:18.36%|RENNELL矿区|2018年12月13日|含水量:28.55%"
,,"0|3|破碎，筛选，水洗|红褐色块状|AL2O3:46.65%,FE2O3：17.01%，TIO2:2.52%,SIO2：4.86%，MGO:0.1%,CAO:2.46%,水:4.06%|印度|2018.09.21"
,,0|3|水洗、破碎|红褐色|AL2O3:56.61%.SIO2:8.82%.FE2O3:7.52%.TIO2:2.48%|WEIPA AUSTRALIA|20190102|现货价|无需二次结算|20190102
,,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:56.61%.FE2O3:7.52%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量12.4%
,,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:51.24%.FE2O3:16.83%|AWASO矿区|2018年12月2日|现货价|不需要二次结算|2018年12月2日
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝66.65%，二氧化硅15.3%，氧化钙15.74%|西班牙安达卢西亚矿区|签约日期：2018.08.07/2018.11.10|定价方式：现货价|无二次结算|计价日期：2018.08.07/2018.11.10|型号ZHENGLOC-SR
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝78.69%，二氧化硅13.78%，氧化钠7.53%|西班牙安达卢西亚矿区|签约日期：2018.08.07/2018.11.10|定价方式：现货价|无二次结算|计价日期：2018.08.07/2018.11.10|型号ZHENGTAG-XT
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝88.12%，二氧化硅10.25%，二氧化钛1.44%|西班牙安达卢西亚矿区|签约日期：2018.08.07/2018.11.10|定价方式：现货价|无二次结算|计价日期：2018.08.07/2018.11.10|型号ZHENGGUN-60E
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化钠0.69%.氧化铝63.8%，氧化钙33.8%|西班牙安达卢西亚矿区|签约日期：2018.08.07/2018.11.10|定价方式：现货价|无二次结算|计价日期：2018.08.07/2018.11.10|型号ALUJANG NW
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:49.5%.SIO2:4.8%.FE2O3:16.9%.TIO2:3.1%.L.O.I:25.3%.杂质0.4%|澳大利亚 GOVE矿区|20160101|现货价|不需要二次结算|长期合同.单价在2018年9月28日调整确定
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:47.6%.SIO2:5.1%.FE2O3:19.3%.TIO2:2.8%.L.O.I:24.8%.杂质0.4%|澳大利亚 GOVE矿区|20160101|现货价|不需要二次结算|长期合同.单价在2018年9月28日调整确定
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:49.58-50.53%.SIO2:3.93-4.04%.FE2O3:10.69-11.52%.TIO2:1.32-1.37%.LOI:28.08-28.18%.其它杂质4.28-6.4%|巴西 MRN矿区|20181101|现货价|不需要二次结算|20181101
,,0|3|天然原矿|红色颗粒|AL2O3:49.4%.SIO2:5.4%.FE2O3:16.5%.TIO2:2.9%.L.O.I:25.4%.杂质0.4%|澳大利亚 GOVE矿区|20160101|现货价|不需要二次结算|长期合同.单价在2018年9月28日调整确定
,,0|3|加工方法：破碎|外观：红褐色块状粉末|成分含量：三氧化二铝44.88%，二氧化硅2.74%，三氧化二铁24.6%，氧化镁0.0065%|来源：Boké Rep.from Guinea|签约日期：2018.12.20|定价方式：现货价|是否需要二次结算：否|计价日期：2018.12.20
,,0|3|矿山开采，筛选，破碎，水洗|红褐色块状|AL2O3:51.24%.SIO2:1.96%.FE2O3:16.83%.TIO2：1.78%，水:9%|AWASO|2018.12.02|现货价|否|2018.12.02
,,0|3|破碎 筛选 水洗|红褐色块状|Al2O3:51% Fe2O3:16.87% H2O:9.1% SiO2:1.96% TiO2:1.88%|矿山开采 矿区：GHANA|签约日期：181102|现货价|不需要二次结算|计价日期：181102
,,0|3|天然原矿|红色颗粒|AL2O3:49.7%.SIO2:4.9%.FE2O3:16.5%.TIO2:3%.L.O.I:25.5%.杂质0.4%|澳大利亚 GOVE矿区|20160101|现货价|不需要二次结算|长期合同.单价在2018年9月28日调整确定
,,0|3|矿山开采.筛选.破碎.水洗|红褐色块状|AL2O3:51%.FE2O3:16.87%|AWASO矿区|2018年11月2日|现货价|无需二次结算|无计价日期
,,0|3|矿山开采，筛选，破碎，水洗|红褐色块状|AL2O3:48.85%.SIO2:0.21%.FE2O3:18.36%.TIO2：1.68%，水:28.55%|Metallurgical grade bauxite ex Solomon Islands（所罗门群岛以外的冶金级铝土矿）|2018.12.13|48.50*68，300公吨*(1-28%)=2.385.036.00|是|2018.12.19
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%，氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2018.08.27|定价方式：现货价|无二次结算|计价日期：2018.08.27|型号ALUJANG NW
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝80.64%，二氧化硅17.53%，氧化钾0.58%|西班牙安达卢西亚矿区|签约日期：2018.08.27|定价方式：现货价|无二次结算|计价日期2018.08.27|型号ZHENG-59
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝87.19%，二氧化硅10.25%，二氧化钛1.44%|西班牙安达卢西亚矿区|签约日期：2018.08.27|定价方式：现货价|无二次结算|计价日期2018.08.27|型号ZHENGGUN-60E
,,4|3|煅烧破碎加工|灰色粉末|成分含量：二氧化硅63.8%，氧化钙33.8%.氧化钠0.69%|西班牙安达卢西亚矿区|签约日期：2018.11.6|定价方式：现货价|无二次结算|计价日期：2018.11.6|型号ALUJANG NW
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:47.2%.SIO2:6%.FE2O3:19.4%.TIO2:2.7%.L.O.I:24.3%.杂质0.4%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|长期合同.2019年第一季度单价在2018年12月26日确定
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:48.2%.SIO2:4.5%.FE2O3:19.2%.TIO2:2.9%.L.O.I:24.8%.杂质0.4%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|长期合同.2019年第一季度单价在2018年12月26日确定
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:48.6%.SIO2:5.4%.FE2O3:18.2%.TIO2:2.9%.L.O.I:24.6%.杂质0.3%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|长期合同.2019年第一季度单价在2018年12月26日确定
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:48.8%.SIO2:4.6%.FE2O3:18.4%.TIO2:2.9%.L.O.I:24.9%.杂质0.4%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:49.12-50.03%.SIO2:4.05-4.28%.FE2O3:11.09-11.33%.TIO2:1.27-1.31%.LOI:27.89-28.22%.其它杂质4.83-6.58%|巴西 MRN矿区|20181101|现货价|不需要二次结算|20181101
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:49.7%.SIO2:5.6%.FE2O3:16%.TIO2:3%.L.O.I:25.2%.杂质0.5%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:53.52%.SIO2:10.25%.FE2O3:9.65%.TIO2:1.99%.L.O.I:23.97%.杂质0.62%|澳大利亚 WEIPA矿区|20181226|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:54.45%.SIO2:10.3%.FE2O3:8.06%.TIO2:2.12%.L.O.I:24.79%.杂质0.28%|澳大利亚 WEIPA矿区|20181226|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:54.73%.SIO2:10.33%.FE2O3:8.64%.TIO2:2.05%.L.O.I:24.1%.杂质0.15%|澳大利亚 WEIPA矿区|20181226|现货价|不需要二次结算|20181226
,,1|3|天然|红褐色颗粒状|Al2O3:48.22%.SiO2:0.25%.Fe2O3:18.65%.TiO2:1.68%.LOl:28.96%|所罗门群岛/RENNELL ISLAND|20190202|现货价|无需二次结算|20190202
,,0|3|加工方法：矿山开采，破碎，筛选，水洗|外观：红褐色块状|成分含量：AL2O3:45.31%.SIO2:4.51%|矿区：GUINEA|签约日期：20180828|现货价|需要二次结算|现货
,,0|3|破碎 筛选 水洗|红褐色块|AL2O3:51.31%.FE2O3:16.74%.TIO2:1.80%.SIO2:1.95%.L.O.I.:27.50%.Moisture:9.30%|在AWASO 阿瓦索矿山开采 |2018年12月28日|现货价|不需要二次结算|2018年12月28日
,,0|3|破碎 筛选 水洗|红褐色块状|Al2O3:51.31% Fe2O3:16.74% TiO2:1.8% SiO2:1.95% Moisture:9.3%|矿山开采 矿区：加纳阿瓦索矿区|签约日期：2018.12.28|现货价|不需要二次结算|计价日期：2018.12.28
,,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:57.76%.FE2O3:7.43%|WEIPA矿区|2018年12月25日|现货价|不需要二次结算|2018年12月25日|含水量12.7%
,,4|3|采掘|红色粘土颗粒或者块状|Al2O3 46-48%，SiO2 3%，Fe2O3 16%，TiO2 1.1%|非洲-塞拉利昂-Sierramin Mining Area(塞拉明矿区)|无签约日期|无定价方式|不需要二次结算|无计价日期
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%.氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2018.11.6|定价方式：现货价|无二次结算|计价日期：2018.11.6|型号ALUJANG NW
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝66.65%，二氧化硅15.3%，氧化钙15.74%|西班牙安达卢西亚矿区|签约日期：2018.11.6|定价方式：现货价|无二次结算|计价日期：2018.11.6|型号ZHENGLOC-SR
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝88.12%，二氧化硅10.25%，二氧化钛1.44%|西班牙安达卢西亚矿区|签约日期：2018.11.6|定价方式：现货价|无二次结算|计价日期：2018.11.6|型号ZHENGGUN-60E
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝58.13%，氧化镁40.43%，二氧化硅1.11%，氧化铁0.33%|西班牙安达卢西亚矿区|签约日期：2018.11.6|定价方式：现货价|无二次结算|计价日期：2018.11.6|型号ZHENGTAG-CM
,,0|3|破碎，研磨，煅烧|灰白色|AL2O3:88.41%.SIO2:7.3%FE2O3:1.16%TIO2:2.8%MGO:0.04%CAO:0.01%|东蒙哥马利矿山EAST MONTGOMERY MINE|2018.10.09|现货价|否|2018.10.09
,,0|3|破碎，研磨，煅烧|灰白色|AL2O3:88.41%.SIO2:7.3%FE2O3:1.16%TIO2:2.8%MGO:0.04%CAO:0.01%|东蒙哥马利矿山EAST MONTGOMERY MINE|2019.01.17|现货价|否|2019.01.17
,,0|3|天然开采|红褐色颗粒|AL2O3:46.8%SIO2:4.88%M:8.68%|几内亚贝莱尔矿区|2019年2月28日|现货价|需要二次结算|2019年2月28日|无其他
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:49%.SIO2:5.9%.FE2O3:17%.TIO2:2.8%.L.O.I:24.8%.杂质0.5%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:49.4%.SIO2:6%.FE2O3:16.2%.TIO2:2.9%.L.O.I:25.1%.杂质0.4%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:49.5%.SIO2:4.6%.FE2O3:17.2%.TIO2:3%.L.O.I:25.2%.杂质0.5%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:49.6%.SIO2:5.2%.FE2O3:16.6%.TIO2:3%.L.O.I:25.2%.杂质0.4%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:51.9%.SIO2:4.6%.FE2O3:13.7%.TIO2:3.1%.L.O.I:26.1%.杂质0.6%|澳大利亚 GOVE矿区|20181205|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:53.81%.SIO2:10.75%.FE2O3:7.53%.TIO2:2.13%.L.O.I:25.06%.杂质0.72%|澳大利亚 WEIPA矿区|20181226|现货价|不需要二次结算|20181226
,,0|3|粉碎、粗选|红褐色颗粒状|AL2O3:54.32%.SIO2:10.54%.FE2O3:7.13%.TIO2:2.08%.L.O.I:25.31%.杂质0.62%|澳大利亚 WEIPA矿区|20181226|现货价|不需要二次结算|20181226
,,天然红褐色颗粒状
,,0|3|原矿|红褐色颗粒状|Al2O3:44.11%;SiO2:2.59%;Fe2O3:25.4%;CAO:0.06%|几内亚smb矿区|20190128|现货价|是二次结算|201901
,,0|3|粉碎|粉末颗粒|氧化铝含量50% 二氧化硅18% 三氧化二铁12% 二氧化钛10% 氧化铌10%|巴西茹鲁迪矿区|2019年2月10日|现货价|不需要二次结算 |2019年2月1日
,,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:56.76%.FE2O3:7.04%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.5%
,,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:57.27%.FE2O3:5.11%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量12%
,,0|3|矿山开采.筛选.破碎.水洗|红褐色块状|AL2O3:51.05%.FE2O3:17.29%|AWASO矿区|2019年1月10日|现货价|无需二次结算|2019年1月10日
,,0|3|矿山开采.筛选.破碎.水洗|红褐色块状|AL2O3:51.34%.FE2O3:17.22%|AWASO矿区|2019年2月1日|现货价|无需二次结算|2019年2月1日
,,0|3|水洗、破碎|红褐色|AL2O3:56.76%.SIO2:8.24%.FE2O3:7.04%.TIO2:2.51%|WEIPA AUSTRALIA|20190102|现货价|无需二次结算|20190102
,,0|3|破碎 筛选 水洗|红褐色块状|AL2O3:51.34% FE2O3:17.22% TIO2:1.81% SIO2:1.77% MOISTURE:9.7%|矿山开采 矿区：加纳阿瓦索矿区|签约日期：2019.02.01|现货价|不需要二次结算|计价日期：2019.02.01
,,0|3|破碎 筛选 水洗|红褐色块状|AL2O3:57.76% SIO2:7.76% FE2O3:7.43% TIO2:2.53% MOISTURE:12.7%|矿山开采 矿区：澳大利亚|签约日期：2018.12.25|现货价|不需要二次结算|计价日期：2018.12.25
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%，氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2019.1.11|定价方式：现货价|无二次结算|计价日期：2019.01.11|型号ALUJANG NW
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%，氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2019.1.11|定价方式：现货价|无二次结算|计价日期：2019.01.11|型号ALUJANG NW
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝66.65%，二氧化硅15.3%，氧化钙15.74%|西班牙安达卢西亚矿区|签约日期：2018.11.6|定价方式：现货价|无二次结算|计价日期：2018.11.6|型号ZHENGLOC-SR
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝66.65%，二氧化硅15.3%，氧化钙15.74%|西班牙安达卢西亚矿区|签约日期：2019.1.11|定价方式：现货价|无二次结算|计价日期：2019.01.11|型号ZHENGLOC-SR
,,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝76.32%，二氧化硅20.85%，氧化钠1.36%，氧化钙0.56%，氧化钾0.55%，氧化铁0.08%，氧化镁0.27%|西班牙安达卢西亚矿区|签约日期：2018.11.6|定价方式：现货价|无二次结算|计价日期：2018.11.6|型号ZHENGEROLOC-80
