Name,Company,Group,Ownership, Ownership(%),Offtake,Offtake( %),Country,Region
Malaysia Other - Total,,,,,,1.0,Malaysia,Africa & Asia (ex China)
Malaysia Other,,,Other,1.0,Other,1.0,Malaysia,Africa & Asia (ex China)
Niksic - Total,,,,,,1.0,Montenegro,East & Central Europe
Niksic,,,Other,1.0,Other,1.0,Montenegro,East & Central Europe
Kiya-Shaltyr  - Total,Kiya-Shaltyr ,Rusal,,,,1.0,Russia,East & Central Europe
Kiya-Shaltyr,Kiya-Shaltyr ,Rusal,Rusal,1.0,Rusal,1.0,Russia,East & Central Europe
Kola Apatit - Total,Kola Apatit,Rusal,,,,1.0,Russia,East & Central Europe
Kola Apatit,Kola Apatit,Rusal,Rusal,1.0,Rusal,1.0,Russia,East & Central Europe
North Onega - Total,North Onega,Rusal,,,,1.0,Russia,East & Central Europe
North Onega,North Onega,Rusal,Rusal,1.0,Rusal,1.0,Russia,East & Central Europe
North Ural - Total,North Ural,Rusal,,,,1.0,Russia,East & Central Europe
North Ural,North Ural,Rusal,Rusal,1.0,Rusal,1.0,Russia,East & Central Europe
South Ural - Total,South Ural,Rusal,,,,1.0,Russia,East & Central Europe
South Ural,South Ural,Rusal,Rusal,1.0,Rusal,1.0,Russia,East & Central Europe
Tikhvin - Total,Tikhvin,Rusal,,,,1.0,Russia,East & Central Europe
Tikhvin,Tikhvin,Rusal,Rusal,1.0,Rusal,1.0,Russia,East & Central Europe
Timan - Total,Timan,Rusal,,,,1.0,Russia,East & Central Europe
Timan,Timan,Rusal,Rusal,1.0,Rusal,1.0,Russia,East & Central Europe
Al-Baitha - Total,Al-Baitha,Ma aden,,,,1.0,Saudi Arabia,Africa & Asia (ex China)
Al-Baitha,Al-Baitha,Ma aden,Ma aden,0.7490000000000001,Ma aden,0.7490000000000001,Saudi Arabia,Africa & Asia (ex China)
Al-Baitha,Al-Baitha,Ma aden,Alcoa-AWAC,0.251,Alcoa-AWAC,0.251,Saudi Arabia,Africa & Asia (ex China)
Sierra Minerals - Total,Moengo,Vimetco,,,,1.0,Sierra Leone,Africa & Asia (ex China)
Sierra Minerals,Moengo,Vimetco,Vimetco,1.0,Vimetco,1.0,Sierra Leone,Africa & Asia (ex China)
Solomon Islands - Total,Solomon Islands,Solomon Islands Mining,,,,1.0,Solomon Islands,Oceania
Solomon Islands,Solomon Islands,Solomon Islands Mining,Solomon Islands Mining,1.0,Solomon Islands Mining,1.0,Solomon Islands,Oceania
Suriname - AWACS - Total,Suriname - AWACS,Alcoa-AWAC,,,,1.0,Suriname,South America
Suriname - AWACS,Suriname - AWACS,Alcoa-AWAC,Alcoa-AWAC,1.0,Alcoa-AWAC,1.0,Suriname,South America
Seydisehir - Total,Seydisehir,ETI Holdings S.A.,,,,1.0,Turkey,Africa & Asia (ex China)
Seydisehir,Seydisehir,ETI Holdings S.A.,ETI Holdings S.A.,1.0,ETI Holdings S.A.,1.0,Turkey,Africa & Asia (ex China)
Los Pijiguaos - Total,Los Pijiguaos,CVG Bauxilum,,,,1.0,Venezuela,South America
Los Pijiguaos,Los Pijiguaos,CVG Bauxilum,CVG Bauxilum,1.0,CVG Bauxilum,1.0,Venezuela,South America
Nhan Co. - Total,Nhan Co.,Vinacomin,,,,1.0,Vietnam,Africa & Asia (ex China)
Nhan Co.,Nhan Co.,Vinacomin,Vinacomin,1.0,Vinacomin,1.0,Vietnam,Africa & Asia (ex China)
Tan Rai - Total,Tan Rai,Vinacomin,,,,1.0,Vietnam,Africa & Asia (ex China)
Tan Rai,Tan Rai,Vinacomin,Vinacomin,1.0,Vinacomin,1.0,Vietnam,Africa & Asia (ex China)
Vietnam Others - Total,,,,,,1.0,Vietnam,Africa & Asia (ex China)
Vietnam Others,,,,1.0,,1.0,Vietnam,Africa & Asia (ex China)
