Date,Year,Quarter,Africa & Asia (ex China),North America,South America,West Europe,East & Central Europe,Oceania,ROW Est_Un-reported
2019-05-01 00:00:00.000,2019,Q2,873,229,791,471,377,1780,543
2019-06-01 00:00:00.000,2019,Q2,859,238,922,490,361,1651,525
2019-07-01 00:00:00.000,2019,Q3,867,264,991,489,369,1742,543
2019-08-01 00:00:00.000,2019,Q3,830,259,1047,474,367,1640,543
2019-09-01 00:00:00.000,2019,Q3,820,243,931,489,371,1616,525
2019-10-01 00:00:00.000,2019,Q4,889,240,981,478,377,1788,543
2019-11-01 00:00:00.000,2019,Q4,847,239,1000,440,381,1707,525
2019-12-01 00:00:00.000,2019,Q4,913,267,1003,455,394,1814,543
2020-01-01 00:00:00.000,2020,Q1,903,233,1047,478,381,1786,543
2020-02-01 00:00:00.000,2020,Q1,858,217,983,453,355,1619,490
2020-03-01 00:00:00.000,2020,Q1,1112,222,1046,489,375,1741,543
2020-04-01 00:00:00.000,2020,Q2,978,214,1011,472,380,1758,525
