Province,county,china_bx_data2_id,deposit_mine,inventory_000_t,geological_endowment_000_t,inventory_reference,endowment_reference,filter_for_DDM
Henan,Dengfeng,252,"Mulangang Bauxite Mine (""Dengfeng City Mulangang Bauxite Mine"")",1304,1304,BHL2008,BHL2008,
Henan,Dengfeng,253,Qugou,0,8500,-,CM Research,
Henan,Dengfeng,254,"Sigou Bauxite Mine (""Dengfeng City Sigou Bauxite Mine"")",810,810,BHL2008,BHL2008,
Henan,Dengfeng,255,Wangcun,7448,7448,??????????????? http://www.doc88.com/p-868119946683.html,??????????????? http://www.doc88.com/p-868119946683.html,
Henan,Dengfeng,256,"Wangtang-Miaozhuang Mine (""Dengfeng City Wangtang-Miaozhuang Mine"")",4790,4790,BHL2008,BHL2008,
Henan,Dengfeng,257,Xinxin (Xibaiping),4653,4653,BHL2008,BHL2008,
Henan,Dengfeng,258,"Yanqing Bauxitic Clay  Co., Ltd. (""Dengfeng City Yanqing Bauxitic Clay  Co., Ltd."")",3358,3358,BHL2008,BHL2008,
Henan,Dengfeng,259,Yueyao,7632.2,7632.2,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=85187,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=85187,
Henan,Dengfeng,260,Yuzhou City Changzhuang Township Clay Mines,316,316,BHL2008,BHL2008,
Henan,Dengfeng,261,Zhengzhuang,6939,12003,BHL2008,BHL2008,
Henan,Dengfeng,262,Zhuangtou,6660,7246,Henan Bx report,CM Research,
Henan,Dengfeng,263,Shengdimiao,0,47000,-,"??-????????????????????4700??, http://www.cnpowder.com.cn/news/40953.html",
Henan,Gongyi,264,Chadian,16056,31000,Henan Bx Report,CM Research,
Henan,Gongyi,265,Dayugou,2828,2828,Henan Bx Report,Henan Bx Report,
Henan,Gongyi,266,"Dingwang Bauxitic Clay Co., Ltd. (""Gongyang City Dingwang Bauxitic Clay Co., Ltd."")",540,540,BHL2008,BHL2008,
Henan,Gongyi,267,Gongyang City Clay Mine,6529,6529,BHL2008,BHL2008,
Henan,Gongyi,268,"Qiaogou Bauxite Mine (""CHALCO Gongyang City Qiaogou Bauxite Mine"")",1437,1437,BHL2008,BHL2008,
Henan,Gongyi,269,"Qingfeng Bauxite Mine (""Gongyang City Qingfeng Bauxite Mine"")",778,778,BHL2008,BHL2008,
Henan,Gongyi,270,"Qixing  Aluminum Co., Ltd. (""Gongyang City Qixing  Aluminum Co., Ltd."")",891,891,BHL2008,BHL2008,
Henan,Gongyi,271,Shecun,31078,81678,Henan Bx Report,CM Research,
Henan,Gongyi,272,Shuidou (Shuitou),13746,14132," ???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml",CM Research,
Henan,Gongyi,273,Xiaoguan Bx Mine,68230,68230,"????????????_????100, http://www.zgqk100.com/ShowLunwen.asp?id=1115","????????????_????100, http://www.zgqk100.com/ShowLunwen.asp?id=1115",
Henan,Gongyi,274,"Xinyuan Bauxitic Clay  Co., Ltd. (""Gongyang City Xinyuan Bauxitic Clay  Co., Ltd."")",1064,1064,BHL2008,BHL2008,
Henan,Gongyi,275,"Zhangjiagou Dafa Bauxite Mine Co., Ltd. (""Gongyang City Zhangjiagou Dafa Bauxite Mine Co., Ltd."")",1472,1472,BHL2008,BHL2008,
Henan,Gongyi,276,"Zhi'en Bauxite Mine (""CHALCO Gongyang City Zhi'en Bauxite Mine"")",389,389,BHL2008,BHL2008,
Henan,Gongyi,277,Zhongling,8524,8723,BHL2008,BHL2008,
Henan,Gongyi,278,Zhulingou,26672,26916," ???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml"," ???????, http://www.360doc.com/content/12/1217/10/14148_254522425.shtml",
Henan,Hubin,279,Sanmenxia City Hubin District Qiligou - Xiao Shan Bauxite Mine,2260.8,3777,"?????????????--???????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=104059","?????????????--???????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=104059",
