refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Weiqiao-Wudi-Zhanhua L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,900.0,3000.0,4500.0,4500.0,6000.0,7000.0,7200.0,8000.0,8500.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0
Weiqiao-Wudi-Zhanhua H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1800.0,3000.0,2000.0,2800.0,2000.0,2000.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Domestic,0.0,0.0,0.0,0.0,0.0,44.5571955719557,48.4120734908137,160.0,160.0,160.0,160.0,180.0,180.0,160.0,300.0,188.47173761339846,243.9344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Lvliang (Xing),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,900.0,1600.0,1900.0,1900.0,1050.0,1531.3328681088624,1981.967213114754,3074.6031746031745,6122.580645161291,17328.999999999996,63812.50000000021,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0
Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1500.0,2200.0,2100.0,1980.0,1300.0,1200.0,1300.0,1890.0,2160.0,2160.0,2160.0,1800.0,2000.0,2000.0,1300.0,942.3586880669923,1219.672131147541,1892.0634920634918,3767.741935483871,10664.0,25525.000000000084,500.0,200.0,0.0,0.0,0.0,0.0
Chalco Shanxi import,Shanxi,Shanxi,L-B,Chalco,Chalco,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,0.0,351.40500000000003,800.0,700.0,765.5,1500.0,1700.0,1700.0,1700.0,1700.0,2800.0,2700.0,2750.0,2800.0,1800.0,1060.1535240753662,1372.1311475409836,1892.0634920634918,3767.741935483871,10664.0,40840.00000000014,800.0,800.0,800.0,800.0,800.0,800.0
SPIC Shanxi import,Shanxi,Shanxi,L-B,SPIC,SPIC,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Domestic,0.0,30.0,70.0,72.0,20.0,100.0,121.030183727034,320.0,160.0,300.0,300.0,280.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dongxu Tianyuan import,Shanxi,Shanxi,L-B,Tianyuan Chemical,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,1800.0,1900.0,1850.0,1766.9225401256106,2286.8852459016393,3547.619047619047,7064.516129032258,19994.999999999996,51050.00000000017,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
