refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.565332091676926,0.5455174463526465,0.5411356442028463,0.5374297474733987,0.5339233644361252,0.5291636145554233,0.5227983577687255,0.5154963885680132,0.5052583919990499,0.5108557773356958,0.5108557773356958,0.5108557773356958
Tiangui,Guizhou,Guangxi,H-B,Zengshi,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiangui,Henan,Guangxi,H-B,Zengshi,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiangui,Shanxi,Guangxi,H-B,Zengshi,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiangui,Other,Guangxi,H-B,Zengshi,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Guizhou,Guangxi,L-B,GIG,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Henan,Guangxi,L-B,GIG,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Shanxi,Guangxi,L-B,GIG,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Other,Guangxi,L-B,GIG,Other,Imported,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.4957755878625868
Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baise Mining,Guizhou,Guangxi,H-B,Baise Mining,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baise Mining,Henan,Guangxi,H-B,Baise Mining,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baise Mining,Shanxi,Guangxi,H-B,Baise Mining,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baise Mining,Other,Guangxi,H-B,Baise Mining,Other,Imported,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.5039428974639797,0.4951679733167863,0.49444880179049977,0.493955951246288,0.493573165091469,0.4932575736589676,0.4929719025339786,0.4926956290198744,0.4924408068444095
Chalco Guizhou,Guangxi,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
