refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
Huafei,Guangxi,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6018648199889067
Huafei,Henan,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huafei,Shanxi,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huafei,Other,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qingzhen Guanglv,Guangxi,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5765870927256385
Qingzhen Guanglv,Henan,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qingzhen Guanglv,Shanxi,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qingzhen Guanglv,Other,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical,Guangxi,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589237562426277
Qizheng Chemical,Henan,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical,Shanxi,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
