,,Day,Date,NAX,SAX,WA CIF VAT incl.,,Date,WA CIF VAT INCL.,USD: RMB,Australia (FOB WA),WA CIF RMB/t
HARD CODE VALUES,," 1,638 ",04-Dec-15,"1,643","1,675"," 1,818 ",,15/10/2015,334,6.3408,," 2,117.90 "
HARD CODE VALUES,," 1,635 ",07-Dec-15,"1,643","1,675"," 1,814 ",,16/10/2015,333,6.3436,," 2,111.37 "
HARD CODE VALUES,," 1,634 ",08-Dec-15,"1,643","1,625"," 1,723 ",,19/10/2015,333,6.3527,," 2,114.25 "
HARD CODE VALUES,," 1,633 ",09-Dec-15,"1,643","1,625"," 1,732 ",,20/10/2015,328,6.3527,," 2,084.52 "
HARD CODE VALUES,," 1,632 ",10-Dec-15,"1,643","1,625"," 1,735 ",,21/10/2015,328,6.3614,," 2,087.24 "
HARD CODE VALUES,," 1,631 ",11-Dec-15,"1,643","1,625"," 1,730 ",,22/10/2015,328,6.3497,," 2,083.58 "
HARD CODE VALUES,," 1,628 ",14-Dec-15,"1,602","1,600"," 1,726 ",,23/10/2015,327,6.3595,," 2,079.20 "
HARD CODE VALUES,," 1,627 ",15-Dec-15,"1,602","1,600"," 1,709 ",,26/10/2015,324,6.3549,," 2,059.18 "
HARD CODE VALUES,," 1,626 ",16-Dec-15,"1,605","1,590"," 1,688 ",,27/10/2015,324,6.3494,," 2,057.49 "
HARD CODE VALUES,," 1,625 ",17-Dec-15,"1,605","1,590"," 1,691 ",,28/10/2015,321,6.3536,," 2,040.20 "
HARD CODE VALUES,," 1,624 ",18-Dec-15,"1,605","1,590"," 1,692 ",,29/10/2015,321,6.3596,," 2,042.03 "
HARD CODE VALUES,," 1,621 ",21-Dec-15,"1,605","1,590"," 1,691 ",,30/10/2015,321,6.3495,," 2,038.95 "
HARD CODE VALUES,," 1,620 ",22-Dec-15,"1,605","1,590"," 1,691 ",,02/11/2015,321,6.3154,," 2,028.53 "
HARD CODE VALUES,," 1,619 ",23-Dec-15,"1,605","1,590"," 1,690 ",,03/11/2015,321,6.331,," 2,033.30 "
HARD CODE VALUES,," 1,618 ",24-Dec-15,"1,600","1,580"," 1,695 ",,04/11/2015,321,6.3343,," 2,034.31 "
HARD CODE VALUES,," 1,617 ",25-Dec-15,"1,600","1,580"," 1,698 ",,05/11/2015,321,6.3381,," 2,031.76 "
HARD CODE VALUES,," 1,614 ",28-Dec-15,"1,600","1,580"," 1,698 ",,06/11/2015,313,6.3459,," 1,985.87 "
HARD CODE VALUES,," 1,613 ",29-Dec-15,"1,600","1,610"," 1,701 ",,09/11/2015,313,6.3578,," 1,989.41 "
HARD CODE VALUES,," 1,612 ",30-Dec-15,"1,600","1,610"," 1,702 ",,10/11/2015,313,6.3602,," 1,990.12 "
HARD CODE VALUES,," 1,611 ",31-Dec-15,"1,600","1,610"," 1,703 ",,11/11/2015,313,6.3614,," 1,990.48 "
HARD CODE VALUES,," 1,607 ",04-Jan-16,"1,600","1,610"," 1,705 ",,12/11/2015,313,6.3628,," 1,990.90 "
HARD CODE VALUES,," 1,606 ",05-Jan-16,"1,600","1,610"," 1,694 ",,13/11/2015,312,6.3655,," 1,984.25 "
HARD CODE VALUES,," 1,605 ",06-Jan-16,"1,591","1,590"," 1,697 ",,16/11/2015,311,6.375,," 1,979.61 "
HARD CODE VALUES,," 1,604 ",07-Jan-16,"1,612","1,565"," 1,698 ",,17/11/2015,311,6.374,," 1,979.31 "
HARD CODE VALUES,," 1,603 ",08-Jan-16,"1,618","1,525"," 1,697 ",,18/11/2015,311,6.3796,," 1,980.96 "
HARD CODE VALUES,," 1,600 ",11-Jan-16,"1,618","1,525"," 1,689 ",,19/11/2015,311,6.3791,," 1,980.81 "
HARD CODE VALUES,," 1,599 ",12-Jan-16,"1,618","1,525"," 1,689 ",,20/11/2015,311,6.378,," 1,980.49 "
HARD CODE VALUES,," 1,598 ",13-Jan-16,"1,618","1,535"," 1,689 ",,23/11/2015,307,6.3867,," 1,960.64 "
HARD CODE VALUES,," 1,597 ",14-Jan-16,"1,618","1,535"," 1,693 ",,24/11/2015,306,6.3888,," 1,953.77 "
HARD CODE VALUES,," 1,596 ",15-Jan-16,"1,618","1,535"," 1,713 ",,25/11/2015,295,6.3877,," 1,882.46 "
HARD CODE VALUES,," 1,593 ",18-Jan-16,"1,618","1,535"," 1,715 ",,26/11/2015,295,6.3896,," 1,882.99 "
HARD CODE VALUES,," 1,592 ",19-Jan-16,"1,637","1,535"," 1,716 ",,27/11/2015,295,6.3915,," 1,883.52 "
HARD CODE VALUES,," 1,591 ",20-Jan-16,"1,637","1,535"," 1,719 ",,30/11/2015,293,6.3962,," 1,873.60 "
HARD CODE VALUES,," 1,589 ",22-Jan-16,"1,637","1,535"," 1,719 ",,01/12/2015,293,6.3973,," 1,873.91 "
HARD CODE VALUES,," 1,589 ",22-Jan-16,"1,637","1,535"," 1,719 ",,02/12/2015,293,6.3958,," 1,873.49 "
HARD CODE VALUES,," 1,586 ",25-Jan-16,"1,621","1,530"," 1,718 ",,03/12/2015,289,6.3982,," 1,851.70 "
HARD CODE VALUES,," 1,585 ",26-Jan-16,"1,621","1,535"," 1,718 ",,04/12/2015,285,6.3851,," 1,818.23 "
HARD CODE VALUES,," 1,584 ",27-Jan-16,"1,627","1,535"," 1,737 ",,07/12/2015,284,6.3985,," 1,814.35 "
HARD CODE VALUES,," 1,583 ",28-Jan-16,"1,627","1,535"," 1,737 ",,08/12/2015,269,6.4078,," 1,723.13 "
HARD CODE VALUES,," 1,582 ",29-Jan-16,"1,627","1,535"," 1,744 ",,09/12/2015,270,6.414,," 1,732.20 "
HARD CODE VALUES,," 1,579 ",01-Feb-16,"1,627","1,535"," 1,745 ",,10/12/2015,270,6.4236,," 1,734.65 "
HARD CODE VALUES,," 1,578 ",02-Feb-16,"1,627","1,535"," 1,752 ",,11/12/2015,269,6.4358,," 1,730.22 "
HARD CODE VALUES,," 1,577 ",03-Feb-16,"1,627","1,535"," 1,752 ",,14/12/2015,268,6.4495,," 1,726.14 "
HARD CODE VALUES,," 1,576 ",04-Feb-16,"1,627","1,575"," 1,761 ",,15/12/2015,265,6.4559,," 1,708.87 "
HARD CODE VALUES,," 1,575 ",05-Feb-16,"1,627","1,575"," 1,751 ",,16/12/2015,261,6.4626,," 1,687.86 "
HARD CODE VALUES,," 1,565 ",15-Feb-16,"1,627","1,575"," 1,761 ",,17/12/2015,261,6.4757,," 1,691.08 "
HARD CODE VALUES,," 1,564 ",16-Feb-16,"1,627","1,575"," 1,765 ",,18/12/2015,261,6.4814,," 1,692.48 "
HARD CODE VALUES,," 1,563 ",17-Feb-16,"1,686","1,625"," 1,810 ",,21/12/2015,261,6.4753,," 1,690.98 "
HARD CODE VALUES,," 1,562 ",18-Feb-16,"1,686","1,625"," 1,808 ",,22/12/2015,261,6.4746,," 1,690.81 "
HARD CODE VALUES,," 1,561 ",19-Feb-16,"1,709","1,635"," 1,850 ",,23/12/2015,261,6.4731,," 1,690.44 "
HARD CODE VALUES,," 1,558 ",22-Feb-16,"1,709","1,635"," 1,850 ",,24/12/2015,262,6.4755,," 1,694.82 "
HARD CODE VALUES,," 1,557 ",23-Feb-16,"1,766","1,675"," 1,860 ",,25/12/2015,262,6.4713,," 1,697.57 "
HARD CODE VALUES,," 1,556 ",24-Feb-16,"1,814","1,715"," 1,873 ",,28/12/2015,262,6.475,," 1,698.48 "
HARD CODE VALUES,," 1,555 ",25-Feb-16,"1,814","1,715"," 1,896 ",,29/12/2015,262,6.4864,," 1,701.30 "
HARD CODE VALUES,," 1,554 ",26-Feb-16,"1,814","1,715"," 1,896 ",,30/12/2015,262,6.4895,," 1,702.06 "
HARD CODE VALUES,," 1,551 ",29-Feb-16,"1,814","1,715"," 1,923 ",,31/12/2015,262,6.4936,," 1,703.08 "
HARD CODE VALUES,," 1,550 ",01-Mar-16,"1,814","1,715"," 1,944 ",,04/01/2016,262,6.5032,," 1,705.44 "
HARD CODE VALUES,," 1,549 ",02-Mar-16,"1,814","1,715"," 1,973 ",,05/01/2016,260,6.5169,," 1,693.58 "
HARD CODE VALUES,," 1,548 ",03-Mar-16,"1,877","1,800"," 1,971 ",,06/01/2016,260,6.5314,," 1,697.12 "
HARD CODE VALUES,," 1,547 ",04-Mar-16,"1,877","1,800"," 1,987 ",,07/01/2016,259,6.5646,," 1,697.56 "
HARD CODE VALUES,," 1,544 ",07-Mar-16,"1,877","1,800"," 2,020 ",,08/01/2016,259,6.5636,," 1,697.32 "
HARD CODE VALUES,," 1,543 ",08-Mar-16,"1,903","1,820"," 2,018 ",,11/01/2016,257,6.5626,," 1,689.40 "
HARD CODE VALUES,," 1,542 ",09-Mar-16,"1,912","1,820"," 2,023 ",,12/01/2016,257,6.5628,," 1,689.44 "
HARD CODE VALUES,," 1,541 ",10-Mar-16,"1,912","1,820"," 2,024 ",,13/01/2016,257,6.563,," 1,689.49 "
HARD CODE VALUES,," 1,540 ",11-Mar-16,"1,912","1,835"," 2,023 ",,14/01/2016,258,6.5616,," 1,692.99 "
HARD CODE VALUES,," 1,537 ",14-Mar-16,"1,912","1,835"," 2,040 ",,15/01/2016,261,6.5637,," 1,712.70 "
HARD CODE VALUES,," 1,536 ",15-Mar-16,"1,912","1,835"," 2,045 ",,18/01/2016,262,6.559,," 1,715.38 "
HARD CODE VALUES,," 1,535 ",16-Mar-16,"1,912","1,835"," 2,060 ",,19/01/2016,262,6.5596,," 1,715.53 "
HARD CODE VALUES,," 1,534 ",17-Mar-16,"1,912","1,835"," 2,053 ",,20/01/2016,262,6.5578,," 1,718.92 "
HARD CODE VALUES,," 1,533 ",18-Mar-16,"1,912","1,835"," 2,028 ",,22/01/2016,262,6.5585,," 1,719.10 "
HARD CODE VALUES,," 1,530 ",21-Mar-16,"1,916","1,830"," 2,057 ",,22/01/2016,262,6.5572,," 1,718.78 "
HARD CODE VALUES,," 1,529 ",22-Mar-16,"1,916","1,830"," 2,061 ",,25/01/2016,262,6.5557,," 1,718.41 "
HARD CODE VALUES,," 1,528 ",23-Mar-16,"1,907","1,820"," 2,060 ",,26/01/2016,262,6.5548,," 1,718.18 "
HARD CODE VALUES,," 1,527 ",24-Mar-16,"1,907","1,820"," 2,067 ",,26/01/2016,262,6.5548,," 1,718.18 "
HARD CODE VALUES,," 1,526 ",25-Mar-16,"1,907","1,820"," 2,069 ",,27/01/2016,265,6.5533,," 1,736.98 "
HARD CODE VALUES,," 1,523 ",28-Mar-16,"1,925","1,840"," 2,065 ",,28/01/2016,265,6.5528,," 1,736.86 "
HARD CODE VALUES,," 1,522 ",29-Mar-16,"1,925","1,840"," 2,060 ",,29/01/2016,266,6.5516,," 1,744.22 "
HARD CODE VALUES,," 1,521 ",30-Mar-16,"1,925","1,840"," 2,053 ",,01/02/2016,266,6.5539,," 1,744.80 "
HARD CODE VALUES,," 1,520 ",31-Mar-16,"1,933","1,840"," 2,047 ",,02/02/2016,267,6.551,," 1,751.74 "
HARD CODE VALUES,," 1,519 ",01-Apr-16,"1,933","1,840"," 2,050 ",,03/02/2016,267,6.5521,," 1,752.01 "
HARD CODE VALUES,," 1,515 ",05-Apr-16,"1,927","1,845"," 2,052 ",,04/02/2016,269,6.5419,," 1,760.92 "
HARD CODE VALUES,," 1,514 ",06-Apr-16,"1,930","1,840"," 2,055 ",,05/02/2016,268,6.5314,," 1,750.62 "
HARD CODE VALUES,," 1,513 ",07-Apr-16,"1,930","1,840"," 2,046 ",,15/02/2016,270,6.5118,," 1,760.90 "
HARD CODE VALUES,," 1,512 ",08-Apr-16,"1,930","1,865"," 2,062 ",,16/02/2016,271,6.513,," 1,765.02 "
HARD CODE VALUES,," 1,509 ",11-Apr-16,"1,930","1,860"," 2,059 ",,17/02/2016,277,6.5237,," 1,809.73 "
HARD CODE VALUES,," 1,508 ",12-Apr-16,"1,930","1,860"," 2,058 ",,18/02/2016,277,6.5152,," 1,807.50 "
HARD CODE VALUES,," 1,507 ",13-Apr-16,"1,930","1,860"," 2,057 ",,19/02/2016,284,6.5186,," 1,850.34 "
HARD CODE VALUES,," 1,506 ",14-Apr-16,"1,930","1,860"," 2,066 ",,22/02/2016,284,6.5165,," 1,849.78 "
HARD CODE VALUES,," 1,505 ",15-Apr-16,"1,970","1,870"," 2,067 ",,23/02/2016,285,6.5273,," 1,860.31 "
HARD CODE VALUES,," 1,502 ",18-Apr-16,"1,970","1,870"," 2,063 ",,24/02/2016,287,6.5302,," 1,872.56 "
HARD CODE VALUES,," 1,501 ",19-Apr-16,"1,970","1,870"," 2,091 ",,25/02/2016,290,6.5318,," 1,895.92 "
HARD CODE VALUES,," 1,500 ",20-Apr-16,"1,964","1,865"," 2,091 ",,26/02/2016,290,6.5338,," 1,896.47 "
HARD CODE VALUES,," 1,499 ",21-Apr-16,"1,964","1,865"," 2,098 ",,29/02/2016,294,6.5452,," 1,922.58 "
HARD CODE VALUES,," 1,498 ",22-Apr-16,"1,964","1,865"," 2,107 ",,01/03/2016,297,6.5385,," 1,943.66 "
HARD CODE VALUES,," 1,495 ",25-Apr-16,"1,964","1,865"," 2,119 ",,02/03/2016,301,6.549,," 1,973.44 "
HARD CODE VALUES,," 1,494 ",26-Apr-16,"1,964","1,875"," 2,119 ",,03/03/2016,301,6.5412,," 1,971.21 "
HARD CODE VALUES,," 1,493 ",27-Apr-16,"1,989","1,880"," 2,129 ",,04/03/2016,304,6.5284,," 1,986.64 "
HARD CODE VALUES,," 1,492 ",28-Apr-16,"1,989","1,880"," 2,133 ",,07/03/2016,310,6.5113,," 2,019.79 "
HARD CODE VALUES,," 1,491 ",29-Apr-16,"1,989","1,880"," 2,133 ",,08/03/2016,310,6.5041,," 2,017.67 "
HARD CODE VALUES,," 1,487 ",03-May-16,"1,989","1,880"," 2,132 ",,09/03/2016,311,6.5106,," 2,023.39 "
HARD CODE VALUES,," 1,486 ",04-May-16,"2,004","1,880"," 2,144 ",,10/03/2016,311,6.5127,," 2,024.01 "
HARD CODE VALUES,," 1,485 ",05-May-16,"2,004","1,880"," 2,150 ",,11/03/2016,311,6.495,," 2,022.58 "
HARD CODE VALUES,," 1,484 ",06-May-16,"2,004","1,880"," 2,152 ",,14/03/2016,314,6.4913,," 2,040.48 "
HARD CODE VALUES,," 1,481 ",09-May-16,"2,004","1,880"," 2,176 ",,15/03/2016,314,6.5079,," 2,045.44 "
HARD CODE VALUES,," 1,480 ",10-May-16,"2,004","1,880"," 2,187 ",,16/03/2016,316,6.5172,," 2,059.66 "
HARD CODE VALUES,," 1,479 ",11-May-16,"2,004","1,880"," 2,187 ",,17/03/2016,316,6.4961,," 2,053.31 "
HARD CODE VALUES,," 1,478 ",12-May-16,"2,004","1,880"," 2,179 ",,18/03/2016,314,6.4628,," 2,028.18 "
HARD CODE VALUES,," 1,477 ",13-May-16,"2,004","1,880"," 2,176 ",,21/03/2016,317,6.4824,," 2,056.78 "
HARD CODE VALUES,," 1,474 ",16-May-16,"2,005","1,880"," 2,172 ",,22/03/2016,317,6.4971,," 2,061.21 "
HARD CODE VALUES,," 1,473 ",17-May-16,"1,993","1,880"," 2,167 ",,23/03/2016,317,6.4936,," 2,060.16 "
HARD CODE VALUES,," 1,472 ",18-May-16,"1,993","1,880"," 2,168 ",,24/03/2016,317,6.515,," 2,066.62 "
HARD CODE VALUES,," 1,471 ",19-May-16,"1,998","1,880"," 2,178 ",,25/03/2016,317,6.5223,," 2,068.82 "
HARD CODE VALUES,," 1,470 ",20-May-16,"1,998","1,880"," 2,169 ",,28/03/2016,317,6.5232,," 2,065.28 "
HARD CODE VALUES,," 1,467 ",23-May-16,"1,998","1,880"," 2,160 ",,29/03/2016,317,6.506,," 2,060.10 "
HARD CODE VALUES,," 1,466 ",24-May-16,"1,998","1,880"," 2,157 ",,30/03/2016,317,6.4841,," 2,053.50 "
HARD CODE VALUES,," 1,465 ",25-May-16,"1,998","1,880"," 2,141 ",,31/03/2016,317,6.4612,," 2,046.60 "
HARD CODE VALUES,," 1,464 ",26-May-16,"1,998","1,880"," 2,117 ",,01-Apr-16,317,6.4585,," 2,049.56 "
HARD CODE VALUES,," 1,463 ",27-May-16,"1,998","1,880"," 2,115 ",,05-Apr-16,317,6.4663,," 2,051.92 "
HARD CODE VALUES,," 1,460 ",30-May-16,"1,998","1,880"," 2,124 ",,06-Apr-16,317,6.4754,," 2,054.66 "
HARD CODE VALUES,," 1,459 ",31-May-16,"1,998","1,880"," 2,124 ",,07-Apr-16,316,6.4707,," 2,045.67 "
HARD CODE VALUES,," 1,458 ",01-Jun-16,"1,998","1,880"," 2,124 ",,08-Apr-16,318,6.4733,," 2,061.60 "
HARD CODE VALUES,," 1,457 ",02-Jun-16,"1,998","1,880"," 2,117 ",,11-Apr-16,318,6.4649,," 2,059.06 "
HARD CODE VALUES,," 1,456 ",03-Jun-16,"1,975","1,865"," 2,101 ",,12-Apr-16,319,6.4616,," 2,058.06 "
HARD CODE VALUES,," 1,453 ",06-Jun-16,"1,972","1,865"," 2,092 ",,13-Apr-16,319,6.4591,," 2,057.30 "
HARD CODE VALUES,," 1,452 ",07-Jun-16,"1,972","1,865"," 2,096 ",,14-Apr-16,318,6.4891,," 2,066.39 "
HARD CODE VALUES,," 1,451 ",08-Jun-16,"1,972","1,865"," 2,095 ",,15-Apr-16,318,6.4908,," 2,066.91 "
HARD CODE VALUES,," 1,446 ",13-Jun-16,"1,952","1,865"," 2,063 ",,18-Apr-16,318,6.4787,," 2,063.24 "
HARD CODE VALUES,," 1,445 ",14-Jun-16,"1,952","1,865"," 2,078 ",,19-Apr-16,323,6.47,," 2,090.88 "
HARD CODE VALUES,," 1,444 ",15-Jun-16,"1,952","1,855"," 2,085 ",,20-Apr-16,324,6.4579,," 2,090.94 "
HARD CODE VALUES,," 1,443 ",16-Jun-16,"1,952","1,855"," 2,077 ",,21-Apr-16,324,6.4803,," 2,097.84 "
HARD CODE VALUES,," 1,442 ",17-Jun-16,"1,952","1,855"," 2,078 ",,22-Apr-16,325,6.4858,," 2,107.13 "
HARD CODE VALUES,," 1,439 ",20-Jun-16,"1,912","1,840"," 2,076 ",,25-Apr-16,325,6.512,," 2,119.05 "
HARD CODE VALUES,," 1,438 ",21-Jun-16,"1,912","1,840"," 2,059 ",,26-Apr-16,327,6.4882,," 2,119.26 "
HARD CODE VALUES,," 1,437 ",22-Jun-16,"1,912","1,840"," 2,067 ",,27-Apr-16,328,6.4837,," 2,129.24 "
HARD CODE VALUES,," 1,436 ",23-Jun-16,"1,912","1,840"," 2,051 ",,28-Apr-16,328,6.4954,," 2,132.90 "
HARD CODE VALUES,," 1,435 ",24-Jun-16,"1,912","1,840"," 2,051 ",,29-Apr-16,330,6.4589,," 2,132.81 "
HARD CODE VALUES,," 1,432 ",27-Jun-16,"1,904","1,840"," 2,049 ",,03-May-16,330,6.4565,," 2,132.05 "
HARD CODE VALUES,," 1,431 ",28-Jun-16,"1,904","1,840"," 2,054 ",,04-May-16,330,6.4943,," 2,143.95 "
HARD CODE VALUES,," 1,430 ",29-Jun-16,"1,904","1,840"," 2,048 ",,05-May-16,330,6.5128,," 2,149.77 "
HARD CODE VALUES,," 1,429 ",30-Jun-16,"1,904","1,840"," 2,040 ",,06-May-16,330,6.5202,," 2,152.10 "
HARD CODE VALUES,," 1,428 ",01-Jul-16,"1,904","1,840"," 2,061 ",,09-May-16,334,6.5105,," 2,175.71 "
HARD CODE VALUES,," 1,425 ",04-Jul-16,"1,823","1,840"," 2,060 ",,10-May-16,335,6.5233,," 2,187.42 "
HARD CODE VALUES,," 1,424 ",05-Jul-16,"1,814","1,820"," 2,071 ",,11-May-16,335,6.5209,," 2,186.66 "
HARD CODE VALUES,," 1,423 ",06-Jul-16,"1,814","1,820"," 2,087 ",,12-May-16,335,6.4959,," 2,178.66 "
HARD CODE VALUES,," 1,422 ",07-Jul-16,"1,814","1,820"," 2,086 ",,13-May-16,334,6.5246,," 2,176.39 "
HARD CODE VALUES,," 1,421 ",08-Jul-16,"1,814","1,820"," 2,102 ",,16-May-16,332,6.5343,," 2,171.83 "
HARD CODE VALUES,," 1,418 ",11-Jul-16,"1,814","1,820"," 2,129 ",,17-May-16,332,6.52,," 2,167.30 "
HARD CODE VALUES,," 1,417 ",12-Jul-16,"1,783","1,820"," 2,133 ",,18-May-16,332,6.5216,," 2,167.80 "
HARD CODE VALUES,," 1,416 ",13-Jul-16,"1,783","1,820"," 2,131 ",,19-May-16,332,6.5531,," 2,177.79 "
HARD CODE VALUES,," 1,415 ",14-Jul-16,"1,740","1,820"," 2,130 ",,20-May-16,331,6.551,," 2,169.46 "
HARD CODE VALUES,," 1,414 ",15-Jul-16,"1,740","1,820"," 2,101 ",,23-May-16,330,6.5455,," 2,160.07 "
HARD CODE VALUES,," 1,411 ",18-Jul-16,"1,740","1,820"," 2,098 ",,24-May-16,329,6.5468,," 2,156.64 "
HARD CODE VALUES,," 1,410 ",19-Jul-16,"1,739","1,820"," 2,082 ",,25-May-16,326,6.5693,," 2,140.65 "
HARD CODE VALUES,," 1,409 ",20-Jul-16,"1,739","1,820"," 2,066 ",,26-May-16,323,6.5552,," 2,117.10 "
HARD CODE VALUES,," 1,408 ",21-Jul-16,"1,739","1,820"," 2,052 ",,27-May-16,323,6.549,," 2,115.19 "
HARD CODE VALUES,," 1,407 ",22-Jul-16,"1,713","1,800"," 2,042 ",,30-May-16,323,6.5784,," 2,124.24 "
HARD CODE VALUES,," 1,404 ",25-Jul-16,"1,713","1,800"," 2,041 ",,31-May-16,323,6.579,," 2,124.42 "
HARD CODE VALUES,," 1,403 ",26-Jul-16,"1,713","1,800"," 2,038 ",,01-Jun-16,322,6.5889,," 2,123.62 "
HARD CODE VALUES,," 1,402 ",27-Jul-16,"1,691","1,770"," 2,027 ",,02-Jun-16,322,6.5688,," 2,117.44 "
HARD CODE VALUES,," 1,401 ",28-Jul-16,"1,691","1,770"," 2,022 ",,03-Jun-16,319,6.5793,," 2,101.42 "
HARD CODE VALUES,," 1,400 ",29-Jul-16,"1,691","1,725"," 2,014 ",,06-Jun-16,319,6.5497,," 2,092.42 "
HARD CODE VALUES,," 1,397 ",01-Aug-16,"1,691","1,725"," 2,015 ",,07-Jun-16,319,6.5618,," 2,096.10 "
HARD CODE VALUES,," 1,396 ",02-Aug-16,"1,712","1,720"," 2,020 ",,08-Jun-16,319,6.5593,," 2,095.34 "
HARD CODE VALUES,," 1,395 ",03-Aug-16,"1,712","1,720"," 2,013 ",,13-Jun-16,314,6.5805,," 2,063.29 "
HARD CODE VALUES,," 1,394 ",04-Aug-16,"1,712","1,720"," 2,020 ",,14-Jun-16,316,6.5791,," 2,078.27 "
HARD CODE VALUES,," 1,393 ",05-Aug-16,"1,712","1,720"," 2,019 ",,15-Jun-16,316,6.6,," 2,084.55 "
HARD CODE VALUES,," 1,390 ",08-Aug-16,"1,712","1,720"," 2,021 ",,16-Jun-16,316,6.5739,," 2,076.71 "
HARD CODE VALUES,," 1,389 ",09-Aug-16,"1,737","1,720"," 2,013 ",,17-Jun-16,316,6.5795,," 2,078.39 "
HARD CODE VALUES,," 1,388 ",10-Aug-16,"1,737","1,720"," 2,011 ",,20-Jun-16,316,6.5708,," 2,075.77 "
HARD CODE VALUES,," 1,387 ",11-Aug-16,"1,737","1,720"," 1,999 ",,21-Jun-16,314,6.5656,," 2,058.85 "
HARD CODE VALUES,," 1,386 ",12-Aug-16,"1,756","1,780"," 1,992 ",,22-Jun-16,314,6.5935,," 2,067.17 "
HARD CODE VALUES,," 1,383 ",15-Aug-16,"1,756","1,780"," 1,989 ",,23-Jun-16,312,6.5658,," 2,051.22 "
HARD CODE VALUES,," 1,382 ",16-Aug-16,"1,756","1,780"," 1,962 ",,24-Jun-16,312,6.5776,," 2,050.88 "
HARD CODE VALUES,," 1,381 ",17-Aug-16,"1,756","1,780"," 1,963 ",,27-Jun-16,309,6.6375,," 2,049.23 "
HARD CODE VALUES,," 1,380 ",18-Aug-16,"1,756","1,780"," 1,969 ",,28-Jun-16,309,6.6528,," 2,053.73 "
HARD CODE VALUES,," 1,379 ",19-Aug-16,"1,756","1,780"," 1,967 ",,29-Jun-16,309,6.6324,," 2,047.74 "
HARD CODE VALUES,," 1,376 ",22-Aug-16,"1,756","1,780"," 1,987 ",,30-Jun-16,308,6.6312,," 2,039.63 "
HARD CODE VALUES,," 1,375 ",23-Aug-16,"1,756","1,780"," 1,985 ",,01-Jul-16,310,6.6496,," 2,060.57 "
HARD CODE VALUES,," 1,374 ",24-Aug-16,"1,846","1,830"," 1,981 ",,04-Jul-16,310,6.6472,," 2,059.86 "
HARD CODE VALUES,," 1,373 ",25-Aug-16,"1,846","1,830"," 1,990 ",,05-Jul-16,311,6.6594,," 2,071.25 "
HARD CODE VALUES,," 1,372 ",26-Aug-16,"1,846","1,830"," 1,986 ",,06-Jul-16,312,6.6857,," 2,086.86 "
HARD CODE VALUES,," 1,369 ",29-Aug-16,"1,846","1,830"," 1,997 ",,07-Jul-16,312,6.682,," 2,085.76 "
HARD CODE VALUES,," 1,368 ",30-Aug-16,"1,846","1,830"," 1,998 ",,08-Jul-16,314,6.6853,," 2,102.38 "
HARD CODE VALUES,," 1,367 ",31-Aug-16,"1,887","1,840"," 1,998 ",,11-Jul-16,319,6.6843,," 2,129.45 "
HARD CODE VALUES,," 1,366 ",01-Sep-16,"1,887","1,850"," 1,987 ",,12-Jul-16,319,6.695,," 2,132.70 "
HARD CODE VALUES,," 1,365 ",02-Sep-16,"1,887","1,850"," 1,993 ",,13-Jul-16,319,6.6891,," 2,130.91 "
HARD CODE VALUES,," 1,362 ",05-Sep-16,"1,899","1,860"," 1,997 ",,14-Jul-16,319,6.6846,," 2,129.54 "
HARD CODE VALUES,," 1,361 ",06-Sep-16,"1,899","1,860"," 1,992 ",,15-Jul-16,314,6.6805,," 2,100.94 "
HARD CODE VALUES,," 1,360 ",07-Sep-16,"1,923","1,875"," 1,992 ",,18-Jul-16,313,6.6961,," 2,097.78 "
HARD CODE VALUES,," 1,359 ",08-Sep-16,"1,923","1,875"," 1,986 ",,19-Jul-16,311,6.6971,," 2,082.41 "
HARD CODE VALUES,," 1,358 ",09-Sep-16,"1,934","1,880"," 1,996 ",,20-Jul-16,309,6.6946,," 2,066.00 "
HARD CODE VALUES,," 1,355 ",12-Sep-16,"1,988","1,875"," 2,010 ",,21-Jul-16,307,6.6872,," 2,052.09 "
HARD CODE VALUES,," 1,354 ",13-Sep-16,"1,994","1,880"," 2,005 ",,22-Jul-16,306,6.6669,," 2,042.27 "
HARD CODE VALUES,," 1,353 ",14-Sep-16,"1,994","1,880"," 2,010 ",,25-Jul-16,305,6.6886,," 2,040.76 "
HARD CODE VALUES,," 1,348 ",19-Sep-16,"2,010","1,880"," 2,007 ",,26-Jul-16,305,6.6778,," 2,037.63 "
HARD CODE VALUES,," 1,347 ",20-Sep-16,"2,024","1,890"," 2,005 ",,27-Jul-16,304,6.6671,," 2,026.73 "
HARD CODE VALUES,," 1,346 ",21-Sep-16,"2,024","1,890"," 2,009 ",,28-Jul-16,304,6.6518,," 2,022.30 "
HARD CODE VALUES,," 1,345 ",22-Sep-16,"2,075","1,915"," 2,003 ",,29-Jul-16,303,6.6511,," 2,014.32 "
HARD CODE VALUES,," 1,344 ",23-Sep-16,"2,083","1,930"," 2,007 ",,01-Aug-16,304,6.6277,," 2,015.34 "
HARD CODE VALUES,," 1,341 ",26-Sep-16,"2,083","1,930"," 2,029 ",,02-Aug-16,304,6.6451,," 2,020.37 "
HARD CODE VALUES,," 1,340 ",27-Sep-16,"2,159","2,015"," 2,042 ",,03-Aug-16,304,6.6195,," 2,012.97 "
HARD CODE VALUES,," 1,339 ",28-Sep-16,"2,159","2,015"," 2,050 ",,04-Aug-16,304,6.6444,," 2,020.17 "
