refinery,province,category,technology,ownership,owner,bauxite,Factor X,Alumina Grade,A/S,open stock,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Chalco Zhongzhou Dom. Bayer,Guizhou,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou Dom. Bayer,Shanxi,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou Dom. Bayer,Other,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou LT Amt,Guangxi,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou LT Amt,Guizhou,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou LT Amt,Henan,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou LT Amt,Shanxi,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou LT Amt,Other,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman,Guangxi,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman,Guizhou,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman,Shanxi,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman,Other,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Import,Guangxi,Henan,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Import,Guizhou,Henan,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Import,Henan,Henan,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Import,Shanxi,Henan,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Import,Other,Henan,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi,Guangxi,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi,Guizhou,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi,Shanxi,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi,Other,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi Added LT,Guangxi,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi Added LT,Guizhou,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi Added LT,Henan,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi Added LT,Shanxi,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hope Mianchi Added LT,Other,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huiyuan Lushan,Guangxi,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huiyuan Lushan,Guizhou,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huiyuan Lushan,Shanxi,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huiyuan Lushan,Other,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingxin,Guangxi,Henan,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingxin,Guizhou,Henan,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingxin,Henan,Henan,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingxin,Shanxi,Henan,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingxin,Other,Henan,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenhuo,Guangxi,Henan,Sintering,Shenhuo,Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
