refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Jinjiang Lianyungang,Jiangsu,Other,L-B,Jinjiang,Jinjiang,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.2,2,2,2,2,2,2,2
Chalco Lianyungang,Jiangsu,Other,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.6,1.9,2.7,3,3,3,3
Chalco Shandong L-B,Shandong,Other,L-B,Chalco,Chalco,Imported,0.9,1.15,1.15,1.15,1.15,1.25,1.25,1.35,1.2,1.5,1.5,1.5,1.5,1.5,2.15,2,2,2,2,2,2,2,2,2,2,2,2
Chalco Shandong sinter,Shandong,Other,Sintering,Chalco,Chalco,Domestic,0.3,0.25,0.3,0.3,0.2,0.2,0.4,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Chalco Shandong sinter import,Shandong,Other,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Chiping Xinfa L-B,Shandong,Other,L-B,Xinfa,Xinfa,Imported,0,0.6,1.8,1.8,1.8,1.8,2.4,3.25,3.2,1,1.7,2,2.9,3.1,3.3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.2,3.2
Chiping Xinfa H-B,Shandong,Other,H-B,Xinfa,Xinfa,Imported,0.3,0.8,0.8,1,1,1.2,0.8,0.8,0.8,2,2,2,2,1.6,1.26,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
Lubei,Shandong,Other,L-B,Lubei Group,Jinjiang,Imported,0,0,0.2,0.2,0.2,0.7,0.7,0.5,0.25,0.25,0.25,0.5,0.9,0.9,0.92,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Nanshan Donghai H-B,Shandong,Other,H-B,Nanshan Group,Nanshan,Imported,0,0,0,0,0,0.38,0.8,0.95,0.95,0.95,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nanshan Donghai L-B,Shandong,Other,L-B,Nanshan Group,Nanshan,Imported,0,0.14,0.25,0.22,0.25,0.39,0.4,0.6,0.66,0.67,0.67,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Bochuang,Shandong,Other,L-B,Chuangxin Group,Other,Imported,0,0,0,0,0,0,0,0,0.1,0.4,0.5,0.45,0.1,0,0.39,0.5,0.8,0.8,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.4
Nanhan,Shandong,Other,L-B,Private,Other,Imported,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weiqiao - Binzhou L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0,0.6,2.1,1.8,1.8,2.92,3.52,5.2,5.4,3,3,3.6,4,4,3.8,4,4,4,4,4,4,4,4,4,4,4,4
Weiqiao - Binzhou H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0,0,0,0,0,0,0,0,0,1,1,1.8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Weiqiao-Wudi-Zhanhua L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0,0,0,0,0,0,0,0.3,0.9,3,4.5,4.5,6,7,7.2,8,8.5,9,9,9,9,9,9,9,9,9,9
Weiqiao-Wudi-Zhanhua H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0,0,0,0,0,0,0,0,0,0,0.7,1.8,3,2,2.8,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Domestic,0,0,0,0,0,0.044557196,0.048412073,0.16,0.16,0.16,0.16,0.18,0.18,0.16,0.3,0.16,0.16,0,0,0,0,0,0,0,0,0,0
Chalco Lvliang (Xing),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,0,0,0,0,0,0,0,0,0,0.5,0.9,1.6,1.9,1.9,1.05,1.3,1.3,1.3,1.3,1.3,1.25,1.25,1.25,1.2,1.2,1.2,1.2
Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1.5,2.2,2.1,1.98,1.3,1.2,1.3,1.89,2.16,2.16,2.16,1.8,2,2,1.3,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.2,0,0,0,0
Chalco Shanxi import,Shanxi,Shanxi,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1
SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,0,0.351405,0.8,0.7,0.7655,1.5,1.7,1.7,1.7,1.7,2.8,2.7,2.75,2.8,1.8,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SPIC Shanxi import,Shanxi,Shanxi,L-B,SPIC,SPIC,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,1.9,1.9,1.9,1.9,1.9,1.9,1.5,1.5,1.5,1.5,1.5,1.5
Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Domestic,0,0.03,0.07,0.072,0.02,0.1,0.121030184,0.32,0.16,0.3,0.3,0.28,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0
Dongxu Tianyuan import,Shanxi,Shanxi,L-B,Tianyuan Chemical,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0
East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,0,0,0,0,0,0,0,0,0,0,0,0.45,1.8,1.9,1.85,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1
East Hope Lingshi Import,Shanxi,Shanxi,L-B,East Hope,East Hope,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Huaqing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0.03,0.044557196,0.048412073,0.08,0.08,0.08,0.08,0.08,0.04,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Qiangjin Aluminium,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6
Senze,Shanxi,Shanxi,H-B & Sinter (1.2:0.1),Senze,Other,Domestic,0,0,0,0,0.02,0.06,0.2,0.3,0.6,0.6825,0.6825,0.6825,0.8,1.25,1.2,1.2,1.2,1.2,1.2,1,1,1,0.8,0.8,0.8,0.8,0.8
Taixing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0.02,0.044557196,0.048412073,0.05,0.05,0.05,0.05,0.08,0.1,0.25,0.35,0.3,0.3,0,0,0,0,0,0,0,0,0,0
Wusheng,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0.1,0.15,0.04,0.1,0.14523622,0.24,0.24,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
