No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
47,22,Huajin,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,3497.973558338323,3497.973558338323,3497.973558338323,3497.973558338323,3497.973558338323,3497.973558338323,3329.2325072261237,3158.4515026545896,2965.211899808245,2765.436178355508,2567.0656802999833,2317.3492297985254,2065.637452903803,1800.9071086247563,1522.9587162000946,1241.2202470983875,969.7836893697316,656.3388812674215,304.88396756316286,304.88396756316286,304.88396756316286,304.88396756316286,304.88396756316286,
48,22,Huajin,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,341.14515608065346,341.14515608065346,341.14515608065346,341.14515608065346,341.14515608065346,341.14515608065346,324.68843013380825,308.03275464384166,289.18677042625495,269.7033413666899,250.35695884197568,226.00298473054897,201.45441339804282,175.63618661268595,148.52884971185426,121.05187985697518,94.5796194730728,64.01044100463145,29.73426956098342,29.73426956098342,29.73426956098342,29.73426956098342,29.73426956098342,
49,22,Huajin,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,40.879870233801,40.879870233801,40.879870233801,40.879870233801,40.879870233801,40.879870233801,38.907839239987894,36.91196786221825,34.65362892493296,32.31890413852508,30.00060181763029,27.08223324751612,24.140545837888055,21.046713954774038,17.79840632050724,14.505805085917354,11.333599501285015,7.670454864260353,3.563096410674179,3.563096410674179,3.563096410674179,3.563096410674179,3.563096410674179,
50,22,Huajin,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,54031.00320693345,54031.00320693345,54031.00320693345,54031.00320693345,54031.00320693345,54031.00320693345,51424.56604503689,48786.61900175755,45801.76807965474,42715.95783367682,39651.8531919909,35794.63983321475,31906.60591934997,27817.482361907023,23524.18790670452,19172.35051466254,14979.640285005196,10138.054964440991,4709.351387142349,4709.351387142349,4709.351387142349,4709.351387142349,4709.351387142349,
51,22,Huajin,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,11224.540102409892,11224.540102409892,11224.540102409892,11224.540102409892,11224.540102409892,11224.540102409892,10683.072117148327,10135.058187776702,9514.977550988548,8873.923363603742,8237.378354493669,7436.070892862488,6628.36068954528,5778.875604501783,4886.97553003323,3982.9135947206196,3111.909146953232,2106.1057125476627,978.3328156774949,978.3328156774949,978.3328156774949,978.3328156774949,978.3328156774949,
52,22,Huajin,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,1438.6644360038836,1438.6644360038836,1438.6644360038836,1438.6644360038836,1438.6644360038836,1438.6644360038836,1369.2637544148677,1299.0240703451007,1219.5474992372804,1137.3827198763975,1055.7958879735193,953.0912304253834,849.5659248442266,740.6862763581896,626.3702415006339,510.4954045440757,398.8575903288538,269.94240828240316,125.39423581270526,125.39423581270526,125.39423581270526,125.39423581270526,125.39423581270526,
53,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,2480.984673408638,2377.1907429414764,2271.392350084372,2151.084948382649,2029.7685170023813,1898.004975210138,1765.403152419822,1682.3289200900917,1547.1384841124664,1408.700514197581,1320.7190893715165,1230.1588281872214,1135.814871169706,1035.0996701872655,900.0834274806888,733.8355162442125,628.1341478037637,539.4580541177097,468.4318550461452,411.19093134441437,353.59650795151015,295.61978639084106,237.22434298624685,
54,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Dengfeng,,,0.3,,,,,,8588.944818816668,8229.619607796427,7863.355129055937,7446.861772371217,7026.875246090384,6570.72176730627,6111.666235433202,5824.070747644356,5356.053670760003,4876.793924751847,4572.210179833455,4258.698736402856,3932.0884797989916,3583.421552136866,3116.00751662108,2540.4722659772965,2174.543677002538,1867.5550512439916,1621.6687662320742,1423.5058592533721,1224.1191682773328,1023.4089955795157,821.249245683398,
55,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Gongyi,,,0.85,,,,,,14754.987156417019,14137.700750994407,13508.49334616534,12792.997524705082,12071.500771394278,11287.872646776537,10499.259072029821,10005.197482616495,9201.188829157261,8377.866343553926,7854.620550371214,7316.037823529855,6754.952586285538,6155.976094056678,5353.003408092368,4364.288797572347,3735.6584192912305,3208.281270434716,2785.8721091438433,2445.447154853376,2102.9198564980848,1758.1189429061697,1410.827794088118,
56,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Jiaxian,,,0.8,,,,,,256.6827949672556,245.94426987336846,234.9983630031359,222.55135337223027,209.99994948171076,196.36768703989955,182.6486960052601,174.05383188832158,160.06702280743247,145.74422370745884,136.64166121620073,127.27229218990493,117.5114618086937,107.09146221702201,93.12267518042702,75.92265819885563,64.9867894794888,55.812356514192736,48.463982504069605,42.54183375412137,36.58311190893278,30.58483747671513,24.54324206216151,
