Field,Unit,Kamsar,Rusal Nunez,GAC Kamsar,Rusal Conakry,Rusal Conakry.1,Alufer Cap Verga,Dapilon,Dapilon.1,Dapilon.2,Dapilon.3,Ashapura,Katougouma,Katougouma.1,Katougouma.2,AGB2A Pongo,Dynamic,AMC,Chalco,Dapilon.4,Rundi Boffa,SPIC
Owner,,CBG,Rusal,GAC,Rusal,Rusal,Alufer,GDM,Henan Chine,AMR,SMB,Ashapura,SMB,SMB,SMB,AGB2A,Dynamic,AMC,Chalco,SMB,Rundi Kimbo,SPIC
Project / units,,CBG,Dian Dian,GAC,Kindia,Friguia,Bel Air,GDM,Henan Chine,AMR,Malapouya,Ashapura,Kaboye,Dabiss (S),Dabiss (N),3rd Party Mines,Dynamic,AMC,Boffa,Santou-Houda,Rundi Kimbo,SPIC
Cost per wmt of ore,,,,,,,,,,,,,,,,,,,,,,
diesel,US$/wmt,0.002678571428571428,0.005357142857142856,0.005357142857142856,0.007142857142857142,0.007142857142857142,0.0,0.010714285714285713,0.0,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.0,0.0,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713
"labour (incl. mtce, camp, etc)",US$/wmt,0.00033482142857142776,0.0006361607142857126,0.0007812499999999979,0.0008482142857142834,0.0008482142857142834,0.0,0.0010714285714285687,0.0,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0,0.0,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687
maintenance (parts & consumables only),US$/wmt,0.008928571428571428,0.017857142857142856,0.017857142857142856,0.023809523809523808,0.023809523809523808,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
TOTAL,US$/wmt,0.011941964285714285,0.023850446428571426,0.023995535714285712,0.03180059523809523,0.03180059523809523,0.0,0.047499999999999994,0.0,0.047499999999999994,0.047499999999999994,0.047499999999999994,0.047499999999999994,0.047499999999999994,0.047499999999999994,0.047499999999999994,0.0,0.0,0.047499999999999994,0.047499999999999994,0.047499999999999994,0.047499999999999994
Include in costs ? (switch) =>,,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
truck  size,wmt payload,85,100,100,60,60,35,35,60,35,35,35,35,35,35,35,35,100,35,35,35,35
one way distance,km,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Base Values,,,,,,,,,,,,,,,,,,,,,,
speed,km/h,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
diesel,litres/wmt/km one way,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"labour (incl. mtce, camp, etc)",person_hours per trip one way,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667
maintenance (parts & consumables only),US$/wmt/hr,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
hours per trip one way,hrs,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223
truck capacity factor,-,0.7581768593761432,0.7206912177533262,0.7206912177533262,0.845212749948002,0.845212749948002,1.0,1.0,0.845212749948002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7206912177533262,1.0,1.0,1.0,1.0
distance factor,-,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629,2.282855055701629
Values after efficiency factoring,,,,,,,,,,,,,,,,,,,,,,
diesel,litres/wmt/km one way,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009000000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"labour (incl. mtce, camp, etc)",person_hours per trip one way,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,1.86003,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667,2.0667
maintenance (parts & consumables only),US$/wmt/hr,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
